N	3gram	Vygotskiy__2	Problema
1	и т п	8	13
2	не может быть	8	11
3	с точки зрения	10	6
4	в отличие от	1	5
5	в высшей степени	1	5
6	имеет дело с	2	4
7	в данном случае	4	4
8	в художественном произведении	5	4
9	с другой стороны	2	4
10	в конечном счете	3	4
11	в противном случае	1	3
12	на самом деле	5	3
13	в самом деле	11	3
14	в этом смысле	1	3
15	бы то ни	2	3
16	можно было бы	4	3
17	в основе своей	1	3
18	с одной стороны	1	3
19	то же время	2	3
20	в том что	17	3
21	в то же	2	3
22	тем не менее	4	3
23	можно сказать что	1	2
24	том же самом	2	2
25	то же самое	6	2
26	но и в	1	2
27	и во всех	1	2
28	и не может	2	2
29	то или иное	1	2
30	и в частности	1	2
31	то ни было	1	2
32	приходится иметь дело	3	2
33	не могут быть	1	2
34	никогда не может	3	2
35	того или иного	2	2
36	во всех своих	1	2
37	может и не	1	2
38	к нему и	1	2
39	и тем самым	1	2
40	и должны быть	1	2
41	для того чтобы	13	2
42	в этом отношении	5	2
43	формы и содержания	1	2
44	и может быть	1	1
45	а между тем	1	1
46	что иное как	1	1
47	и даже к	1	1
48	искусству может быть	1	1
49	для художника и	1	1
50	художественное произведение как	1	1
51	и мы можем	1	1
52	то есть как	2	1
53	в свою очередь	2	1
54	бы вбирает в	1	1
55	подобно тому как	2	1
56	может быть признано	1	1
57	в том и	2	1
58	о том как	1	1
59	по своему значению	1	1
60	но не имеет	1	1
61	во что бы	1	1
62	не нуждается ни	1	1
63	эстетического объекта с	1	1
64	в художественную форму	1	1
65	до сих пор	5	1
66	и в других	1	1
67	сами по себе	3	1
68	художественную форму как	1	1
69	что все эти	1	1
70	не было бы	1	1
71	эти два момента	1	1
72	что в некоторых	1	1
73	по аналогии с	1	1
74	полном согласии с	1	1
75	с тем что	3	1
76	обе эти системы	1	1
77	искусства но и	1	1
78	творчества и в	1	1
79	на то что	6	1
80	едва ли может	1	1
81	еще не вполне	1	1
82	в полном согласии	1	1
83	и тем не	1	1
84	вообще не приходится	1	1
85	что бы то	1	1
86	то время как	2	1
87	в искусстве форма	1	1
88	не что иное	1	1
89	так художественное произведение	1	1
90	таким образом и	3	1
91	в нашей психике	1	1
92	она никогда не	1	1
93	то ни стало	1	1
94	по сравнению с	2	1
95	т д мы	1	1
96	имеем дело с	1	1
97	и ничего не	1	1
98	к которому относится	1	1
99	творчества и восприятия	1	1
100	не в том	2	1
101	в связи с	1	1
102	в искусстве все	2	1
103	то есть не	1	1
104	в том смысле	1	1
105	художника и для	1	1
106	в том как	1	1
107	но в основе	1	1
108	что далеко не	1	1
109	и в том	2	1
110	нуждается ни в	1	1
111	в свое время	1	1
112	по себе не	1	1
113	не обходятся без	1	1
114	в узком смысле	1	1
115	есть не что	1	1
116	таким образом в	2	1
117	том смысле что	1	1
118	в то время	3	1
119	как бы вбирает	1	1
120	формы то есть	1	1
121	ясно что в	1	1
122	и т д	2	1
123	на этом основании	1	1
124	дело идет о	1	1
125	к выводу что	1	1
126	и в самом	4	1
127	ли может быть	1	1
128	выходит за пределы	1	1
129	которые могут быть	1	1
130	в другом случае	1	1
131	который как бы	1	1
132	к тому что	2	1
133	в первом случае	1	1
134	в особенности же	1	1
135	если бы не	1	1
136	в искусстве есть	2	1
137	относится не к	1	1
138	найти между ними	1	1
139	может быть объяснено	1	1
140	бы не было	1	1
141	как и в	2	1
142	он не нуждается	1	1
143	на этот вопрос	2	1
144	художественная форма есть	1	1
145	вбирает в себя	1	1
146	то что называют	2	1
