N	2gram	Kanaev_Sov_1	Tvorches
1	и в	7	20
2	не только	4	13
3	никогда не	1	11
4	как бы	4	11
5	таким образом	11	10
6	в то	1	10
7	в его	2	10
8	и его	1	9
9	и не	6	9
10	при этом	3	8
11	в том	4	8
12	может быть	12	8
13	в этом	7	8
14	прежде всего	5	8
15	то же	3	7
16	это не	4	7
17	представление о	1	7
18	же время	1	7
19	не может	17	7
20	xix века	1	7
21	что в	2	7
22	в целом	4	6
23	как и	6	6
24	в конце	3	6
25	у него	2	6
26	именно в	1	6
27	а не	3	6
28	все это	3	6
29	еще не	3	5
30	но не	1	5
31	все же	3	5
32	в этой	3	5
33	в мире	1	5
34	о том	1	5
35	и даже	2	5
36	но это	1	5
37	так же	1	5
38	мы не	9	4
39	все эти	5	4
40	отнюдь не	3	4
41	хотя и	1	4
42	но в	3	4
43	за собой	1	4
44	не в	3	4
45	в дальнейшем	4	4
46	на его	2	4
47	что она	3	4
48	если бы	1	4
49	ничего не	6	4
50	в духе	1	4
51	мы видим	2	4
52	а в	4	4
53	и потому	3	4
54	и от	1	4
55	том что	1	4
56	же как	1	3
57	человека и	1	3
58	по мнению	2	3
59	он сам	1	3
60	по отношению	1	3
61	о жизни	2	3
62	отношению к	1	3
63	в себе	3	3
64	в нем	3	3
65	он не	1	3
66	человека в	1	3
67	а затем	1	3
68	его в	1	3
69	и мы	3	3
70	но уже	1	3
71	в самом	2	3
72	одна из	3	3
73	и это	1	3
74	с ним	1	3
75	до сих	1	3
76	этот вопрос	1	3
77	уже не	2	3
78	в начале	1	3
79	так как	4	3
80	как у	1	3
81	вместе с	4	3
82	в область	1	3
83	сих пор	1	3
84	один из	1	3
85	не является	1	3
86	жизни в	1	3
87	одной из	1	3
88	в своих	1	3
89	к этому	1	3
90	в таком	2	3
91	как известно	2	2
92	самом деле	2	2
93	и есть	2	2
94	по преимуществу	1	2
95	говорить о	2	2
96	нет и	4	2
97	во многом	1	2
98	и наконец	5	2
99	в этот	1	2
100	но эта	1	2
101	в которой	2	2
102	но ведь	1	2
103	так сказать	2	2
104	и если	1	2
105	быть поняты	1	2
