N	4gram	Potebnia_M_1	EvropaiC
1	лишь в том что	1	3
2	одного и того же	2	3
3	заключается в том что	1	3
4	бы то ни было	1	2
5	в то же время	3	2
6	дело в том что	2	1
7	разница лишь в том	1	1
8	уже о том что	1	1
9	говоря уже о том	1	1
10	от того будет ли	1	1
11	том что все они	1	1
12	в том и другом	2	1
13	выше мы видели что	1	1
14	но с другой стороны	2	1
15	не в том что	2	1
16	тем не менее в	1	1
17	народа выше мы видели	1	1
18	одной и той же	3	1
19	выйти из этого круга	1	1
20	и в том и	1	1
21	в том что при	1	1
22	а в том что	2	1
23	в том виде в	1	1
24	в том что все	1	1
25	а между тем в	1	1
26	с психологической точки зрения	1	1
27	не говоря уже о	1	1
28	это не более как	1	1
