N	4gram	Medvedev_V_1	KulturaY
1	и т п все	1	2
2	в той или иной	1	2
3	не в том что	2	2
4	что в зависимости от	1	2
5	ни в какой мере	1	2
6	в какой мере не	1	2
7	не говоря уже о	1	2
8	никогда не может быть	1	1
9	этой точки зрения на	1	1
10	уже о том что	1	1
11	всего следует отметить что	1	1
12	в том отношении что	2	1
13	говоря уже о том	1	1
14	и не может быть	2	1
15	и т д но	1	1
16	только в том случае	1	1
17	прежде всего следует отметить	1	1
18	и вместе с тем	1	1
19	с этой точки зрения	1	1
20	и в зависимости от	1	1
21	в зависимости от них	1	1
22	то это вовсе не	1	1
23	в том смысле что	1	1
24	уже по одному тому	2	1
25	для того чтобы строить	1	1
26	т п все это	1	1
27	и в то же	3	1
28	что для того чтобы	1	1
29	и т п для	1	1
30	в плоть и кровь	1	1
31	примеров можно было бы	1	1
32	в то же время	5	1
33	по одному тому что	2	1
