N	3gram	Voloshinov_1	Dialekti
1	с точки зрения	5	14
2	тем не менее	1	10
3	не только не	1	7
4	что иное как	2	6
5	не что иное	2	6
6	не может быть	2	6
7	о том что	2	5
8	само по себе	1	5
9	в самом деле	1	5
10	по крайней мере	1	5
11	ни от чего	1	3
12	только тогда когда	1	3
13	как и в	1	3
14	как раз и	1	3
15	и не только	2	3
16	в том что	1	3
17	то что мы	4	3
18	есть не что	2	3
19	мы не можем	1	2
20	но то что	1	2
21	и в этом	1	2
22	с другой стороны	1	2
23	хотя бы только	1	2
24	и нет ничего	1	2
25	к тому что	2	2
26	тот или иной	1	2
27	и то же	3	2
28	что это значит?	1	2
29	того или иного	5	2
30	в зависимости от	5	2
31	той или иной	3	2
32	мы как раз	1	2
33	не только о	1	2
34	не говоря уже	1	2
35	и ни от	1	2
36	одно и то	3	2
37	но даже и	1	2
38	что же такое	2	2
39	иметь в виду	1	2
40	имели в виду	2	1
41	на самом деле	3	1
42	связи с этим	2	1
43	одной и той	2	1
44	как только мы	1	1
45	но как только	1	1
46	мы никогда не	5	1
47	только одна из	1	1
48	тем самым не	1	1
49	тот факт что	1	1
50	и во всех	1	1
51	своего бытия в	1	1
52	мы показали что	1	1
53	без сновидений и	1	1
54	той же самой	2	1
55	и что же	1	1
56	о том какую	1	1
57	что такое сознание	1	1
58	и никогда не	1	1
59	тех или иных	3	1
60	и в то	2	1
61	нас есть такие	1	1
62	в конечном счете	1	1
63	до сих пор	1	1
64	у нас не	2	1
65	мы ведь уже	1	1
66	и в особенности	1	1
67	все что было	1	1
68	мы приходим к	1	1
69	только как результат	1	1
70	что же мы	1	1
71	то же самое	4	1
72	и как бы	1	1
73	таким образом речь	1	1
74	достаточно чтобы убедиться	1	1
75	что мы не	1	1
76	и той же	2	1
77	решительно ничего не	2	1
78	ни к чему	2	1
79	только потому что	2	1
80	может сказать ни	1	1
81	и в основе	2	1
82	его нельзя ни	1	1
83	более или менее	1	1
84	к чему не	2	1
85	в то же	9	1
86	и в отношении	1	1
87	в которой живет	1	1
88	одна и та	1	1
89	и в вопросе	1	1
90	мы имеем в	1	1
91	допустим что это	1	1
92	в связи с	2	1
93	содержит в себе	1	1
94	так и от	1	1
95	и кроме того	2	1
96	то же время	7	1
97	и не может	1	1
98	в виду что	1	1
99	и та же	1	1
100	не забудем что	3	1
101	сознание которое не	1	1
102	несмотря на свою	1	1
103	у нас есть	1	1
104	но все эти	1	1
105	в этом отношении	2	1
106	не может сказать	1	1
107	заметим пока что	1	1
108	тех или других	1	1
109	не смог бы	1	1
110	тем что его	1	1
111	но каким образом	1	1
112	категорически утверждать что	1	1
113	перед нами не	1	1
114	забудем что мы	1	1
