N	2gram	Berdyaev_M_1	RusskieA
1	и в	28	36
2	не только	29	22
3	том что	3	19
4	что в	10	19
5	в том	6	17
6	т е	2	17
7	но и	25	16
8	так как	3	15
9	во время	1	14
10	в этом	20	12
11	и т	1	10
12	и на	6	10
13	в этот	2	10
14	это не	5	10
15	как и	5	10
16	вместе с	6	10
17	потому что	16	10
18	об этом	1	9
19	а в	4	9
20	и по	4	8
21	с тем	9	8
22	у нас	5	8
23	о том	2	8
24	один из	4	8
25	мы увидим	3	8
26	может быть	30	8
27	что они	1	7
28	так и	1	7
29	между тем	1	7
30	что и	4	7
31	мы не	1	6
32	не имеет	3	6
33	уже не	4	6
34	в них	4	6
35	и не	11	6
36	все это	6	6
37	для нас	3	6
38	будто бы	3	6
39	в новый	1	6
40	то что	5	6
41	иногда и	1	5
42	как в	2	5
43	все же	2	5
44	во многих	1	5
45	в которых	4	5
46	как будто	2	5
47	и у	2	5
48	одно из	3	5
49	в течение	1	5
50	как бы	2	5
51	мы имеем	1	4
52	в первый	1	4
53	еще не	1	4
54	во всех	1	4
55	в эти	1	4
56	после этого	1	4
57	в россии	2	4
58	с собой	3	4
59	входит в	2	4
60	в их	4	4
61	вплоть до	1	4
62	а иногда	1	4
63	к тому	3	4
64	его с	2	4
65	так в	1	4
66	еще в	2	4
67	и что	2	4
68	и их	3	4
69	тем что	4	4
70	и др	1	4
71	того что	7	4
72	но это	1	4
73	не может	28	4
74	только в	6	4
75	к этому	2	4
76	если в	1	3
77	которые не	1	3
78	в своем	10	3
79	и те	2	3
80	на этом	3	3
81	для них	3	3
82	он же	1	3
83	русского народа	1	3
84	в этих	4	3
85	точки зрения	4	3
86	к тем	1	3
87	она в	1	3
88	на небо	1	3
89	не менее	1	3
90	в разных	1	3
91	ничего не	3	3
92	можно сделать	1	3
93	приводит к	2	3
94	к жизни	1	3
95	то есть	3	3
96	от них	1	3
97	связаны с	1	3
98	в середине	4	3
99	также в	1	3
100	христа и	3	3
101	в одном	1	3
102	к ним	1	3
103	в области	1	3
104	и из	1	3
105	на этот	2	3
106	о чем	2	3
107	так же	1	3
108	пишет в	1	3
109	в это	1	3
110	и к	2	3
111	в свою	2	3
112	переход от	1	2
113	между двумя	1	2
114	к другому	1	2
115	еще до	1	2
116	но она	1	2
117	что иное	1	2
118	в ней	15	2
119	он был	14	2
120	иное как	1	2
121	природы и	1	2
122	друг к	1	2
123	на самом	1	2
124	но не	8	2
125	христа в	5	2
126	с этим	3	2
127	и как	2	2
128	его к	1	2
129	но в	7	2
130	та же	1	2
131	все эти	2	2
132	и до	1	2
133	как он	2	2
134	что она	1	2
135	в нем	13	2
136	всех этих	1	2
137	не значит	2	2
138	чем у	4	2
139	в силу	1	2
140	его от	1	2
141	в каждом	1	2
142	же не	1	2
143	и с	3	2
144	к другу	1	2
145	в жизни	3	2
146	многие другие	1	2
147	должны были	1	2
148	и более	1	2
149	она не	4	2
150	что ему	1	2
151	у него	17	2
152	так называемый	2	2
153	не знали	1	2
154	могут быть	2	2
155	как они	1	2
156	в более	2	2
157	в образе	1	2
158	подойти к	1	2
159	с ним	2	2
160	означает что	1	2
161	находится в	1	2
162	на все	1	2
163	и поэтому	1	2
164	в его	9	2
165	в свете	3	2
166	к ней	4	2
167	значит что	4	2
168	этот вопрос	1	2
169	так что	1	2
170	его и	1	2
171	не было	18	2
172	не были	1	2
173	чем в	2	2
174	себя и	3	2
175	с ней	2	2
176	до конца	14	2
177	не на	1	2
178	а не	25	2
179	его как	2	2
180	стоит в	1	2
181	в частности	1	2
182	и потому	10	2
183	западной европе	1	2
184	быть и	1	2
185	только для	1	2
186	мы видим	2	2
187	и для	2	2
188	совершалось в	1	2
189	когда он	3	2
190	интерес к	3	2
191	обычно не	1	2
192	не что	1	2
193	у которых	2	2
194	в своих	1	2
195	ту же	1	1
196	также и	2	1
197	чтобы не	2	1
198	самом деле	1	1
199	тех же	1	1
200	многих отношениях	1	1
201	зависимости от	1	1
202	нужно обратиться	1	1
203	из самых	8	1
204	и ее	1	1
205	должна быть	6	1
206	с таким	1	1
207	сего в	1	1
208	приходит к	1	1
209	все русские	1	1
210	мы уже	1	1
211	из всех	1	1
212	и свободы	4	1
213	не во	1	1
214	а где	1	1
215	вопрос о	2	1
216	имеет свою	1	1
217	еще увидим	2	1
218	имеет смысла	1	1
219	не вполне	1	1
220	ему в	1	1
221	и самой	1	1
222	основании что	2	1
223	был еще	4	1
224	не знают	3	1
225	и он	12	1
226	и был	1	1
227	есть вместе	1	1
228	в отличие	1	1
229	и много	2	1
230	не был	7	1
231	истории в	2	1
232	с его	3	1
233	не без	1	1
234	том основании	2	1
235	же она	1	1
236	не все	2	1
237	ответ на	1	1
238	по отношению	2	1
239	не путем	1	1
240	все можно	1	1
241	себе и	2	1
242	он пишет	1	1
243	отличие от	1	1
244	относится к	2	1
245	в истории	2	1
246	что во	1	1
247	его на	1	1
248	совершенно другой	1	1
249	в различные	1	1
250	к новому	2	1
251	это был	1	1
252	целый ряд	1	1
253	и наконец	1	1
254	православия и	1	1
255	уже нельзя	1	1
256	увидим что	4	1
257	от этого	2	1
258	два и	1	1
259	всегда был	1	1
260	этот случай	2	1
261	в которой	6	1
262	говорят о	1	1
263	за это	1	1
264	когда будет	1	1
265	то и	1	1
266	в себе	7	1
267	вера в	3	1
268	он не	24	1
269	потребности в	1	1
270	видел в	1	1
271	он должен	3	1
272	не к	4	1
273	не как	4	1
274	в начале	2	1
275	есть один	1	1
276	на свободу	3	1
277	которые уже	1	1
278	и характер	1	1
279	значение в	1	1
280	его в	3	1
281	со слезами	1	1
282	должен был	4	1
