N	3gram	Bakhtin_KF_1	Freidism
1	с точки зрения	9	11
2	по отношению к	22	8
3	во всяком случае	1	7
4	не может быть	11	7
5	в большинстве случаев	1	5
6	в зависимости от	1	4
7	то же время	2	4
8	в то же	2	4
9	на самом деле	3	4
10	для того чтобы	1	3
11	бы то ни	2	3
12	и тот же	1	3
13	один и тот	1	3
14	в свою очередь	1	3
15	в конечном счете	1	3
16	и связанных с	1	2
17	в чем не	4	2
18	то же самое	1	2
19	и по отношению	1	2
20	то или иное	2	2
21	может быть и	1	2
22	но в то	1	2
23	ничего общего не	2	2
24	в его целом	10	2
25	во всех своих	3	2
26	ни в чем	4	2
27	связанных с ними	1	2
28	в ее целом	2	2
29	то ни было	2	2
30	но во всяком	1	2
31	тем не менее	2	2
32	форму и содержание	1	1
33	сводится к следующему	1	1
34	ни о каких	1	1
35	и может быть	2	1
36	нет и не	1	1
37	всего что может	1	1
38	никогда бы не	1	1
39	но прежде всего	1	1
40	зависит от того	1	1
41	уже не может	2	1
42	мы никогда не	1	1
43	спросить в каком	1	1
44	как и всякое	1	1
45	в каком бы	1	1
46	равно как и	1	1
47	в котором он	3	1
48	это уже не	1	1
49	как бы ни	1	1
50	события в котором	2	1
51	не только за	1	1
52	в нем и	3	1
53	точки зрения его	1	1
54	хотя бы и	1	1
55	во всех отношениях	2	1
56	по отношению ко	4	1
57	трудно бывает сказать	1	1
58	конечно не может	1	1
59	не было бы	3	1
60	во всех этих	2	1
61	в котором мы	3	1
62	в основе своей	1	1
63	со всех сторон	1	1
64	и тем не	1	1
65	до конца и	1	1
66	на своем месте	2	1
67	я не найду	1	1
68	связанная с ним	1	1
69	в себя и	1	1
70	культурного творчества и	1	1
71	отношению ко всему	3	1
72	и пр все	1	1
73	к той же	1	1
74	чувства желания и	1	1
75	ее целом и	1	1
76	и пр и	1	1
77	и все же	1	1
78	и ни в	2	1
79	ни в каком	2	1
80	мы не можем	1	1
81	имеем в виду	2	1
82	люди а не	1	1
83	было бы для	1	1
84	единого в своей	1	1
85	той или иной	2	1
86	смысле этого слова	1	1
87	в этом смысле	3	1
88	быть не может	1	1
89	во всех его	1	1
90	в том что	2	1
91	все это только	1	1
92	пока я не	1	1
93	что и в	1	1
94	и входит в	1	1
95	конечно не в	1	1
