N	2gram	Nazirov_Tv_1	Komedia
1	и в	21	26
2	в комедии	1	19
3	и не	7	14
4	и его	6	12
5	к тому	2	12
6	так и	2	12
7	тому же	1	11
8	может быть	5	11
9	в том	7	11
10	в этом	6	10
11	на протяжении	3	10
12	но и	3	10
13	столь же	1	9
14	том что	11	9
15	вместе с	2	9
16	что в	12	9
17	было бы	1	8
18	и на	7	7
19	не только	7	7
20	на себя	1	7
21	что и	2	7
22	из них	2	7
23	ли не	1	7
24	еще не	1	6
25	в своем	4	6
26	о том	6	6
27	в нем	3	6
28	таким образом	5	6
29	в то	15	6
30	потому что	5	6
31	и здесь	1	6
32	в двух	2	6
33	наряду с	1	6
34	во время	1	6
35	то что	8	6
36	в которой	3	5
37	с его	11	5
38	что он	6	5
39	так что	2	5
40	в истории	1	5
41	с этим	1	5
42	а затем	2	5
43	ни в	1	5
44	с тем	1	5
45	и с	3	5
46	больше чем	2	5
47	один из	4	5
48	в качестве	2	5
49	к этому	2	5
50	уже в	3	4
51	хотя и	3	4
52	в самом	3	4
53	что это	1	4
54	в целом	4	4
55	это было	1	4
56	в них	1	4
57	как и	12	4
58	в этих	2	4
59	место в	3	4
60	тому что	1	4
61	не менее	6	4
62	не по	3	4
63	как будто	5	4
64	в в	2	4
65	что у	1	4
66	за то	2	4
67	еще в	2	4
68	его в	1	4
69	восходит к	1	4
70	между тем	1	4
71	в его	13	4
72	только в	5	4
73	же в	1	4
74	так как	3	4
75	у него	7	4
76	на этот	1	4
77	что для	2	4
78	прежде всего	4	4
79	в руках	1	4
80	мира в	2	4
81	в частности	2	4
82	как это	1	4
83	о его	1	4
84	все же	5	4
85	и от	4	4
86	одной из	4	4
87	в котором	6	3
88	то же	13	3
89	в их	3	3
90	той же	3	3
91	надо было	2	3
92	того же	2	3
93	это время	2	3
94	в ней	2	3
95	что его	2	3
96	во всех	1	3
97	как правило	1	3
98	но не	3	3
99	по отношению	1	3
100	как в	8	3
101	но в	7	3
102	со своей	1	3
103	в этой	5	3
104	как он	1	3
105	но все	1	3
106	человека в	6	3
107	в каждом	3	3
108	первую очередь	1	3
109	но если	3	3
110	ли можно	1	3
111	не имеет	1	3
112	в самой	1	3
113	же время	12	3
114	связи с	1	3
115	что на	1	3
116	и сам	1	3
117	в образе	1	3
118	к нему	1	3
119	к их	1	3
120	себя в	1	3
121	для всех	1	3
122	мы знаем	1	3
123	и их	1	3
124	тем что	1	3
125	в первую	1	3
126	не было	1	3
127	так называемой	1	3
128	о чем	1	3
129	в связи	1	3
130	отношению к	1	3
131	да и	1	3
132	с этой	1	3
133	все это	10	3
134	или в	2	3
135	в положение	1	3
136	а в	6	3
137	в своей	4	3
138	жизни и	3	3
139	не может	4	3
140	как известно	1	2
141	и т	3	2
142	одним из	4	2
143	и есть	1	2
144	в первом	2	2
145	бы искать	1	2
146	мы имеем	1	2
147	из самых	1	2
148	время как	1	2
149	говорить о	1	2
150	не вполне	1	2
151	то это	1	2
152	в виду	2	2
153	он был	1	2
154	бы то	1	2
155	в ее	1	2
156	и другие	3	2
157	если в	2	2
158	отличие от	2	2
159	человеку и	1	2
160	отнюдь не	5	2
161	и я	1	2
162	в одной	2	2
163	современников в	1	2
164	целый ряд	1	2
165	что по	1	2
166	в действительности	1	2
167	за собой	1	2
168	с той	1	2
169	бы и	1	2
170	жизни так	1	2
171	чуть ли	1	2
172	роль в	1	2
173	в философии	1	2
174	и если	1	2
175	что она	2	2
176	три года	1	2
177	он не	8	2
178	в принципе	2	2
179	на этом	1	2
180	то ни	1	2
181	же не	1	2
182	об этом	2	2
183	в глазах	1	2
184	это не	4	2
185	чем в	1	2
186	в один	2	2
187	представление о	3	2
188	в отличие	2	2
189	не в	2	2
190	в конце	1	2
191	однако в	2	2
192	он выступает	1	2
193	вовсе не	5	2
194	даже в	3	2
195	одна из	2	2
196	же его	1	2
197	в одном	1	2
198	эта ситуация	1	2
199	что их	1	2
200	сюжета в	1	2
201	в духе	2	2
202	и это	1	2
203	протяжении почти	1	2
