N	2gram	Tiupa_Lite_2	UchenyiS
1	и в	19	14
2	а не	20	10
3	не только	8	10
4	прежде всего	4	8
5	и не	11	8
6	не может	9	7
7	вот почему	1	7
8	в этом	9	7
9	то что	7	7
10	эстетического объекта	1	6
11	может быть	17	6
12	в искусстве	4	6
13	то же	12	5
14	и только	2	5
15	в художественном	2	5
16	хотя бы	2	5
17	перестает быть	3	5
18	художественного творчества	2	5
19	с другой	8	4
20	но и	10	4
21	в их	3	4
22	в конечном	5	4
23	в россии	2	4
24	конечном счете	5	4
25	в этой	3	4
26	то ни	1	3
27	и то	3	3
28	это не	1	3
29	было бы	2	3
30	нашему мнению	1	3
31	как и	10	3
32	для этого	2	3
33	в частности	4	3
34	в своей	1	3
35	и т.д	7	3
36	бы то	1	3
37	очевидно что	2	3
38	произведения искусства	2	3
39	в то	9	3
40	все же	2	3
41	но в	2	3
42	не следует	1	3
43	же время	9	3
44	в области	4	3
45	у нас	5	3
46	другой стороны	4	3
47	по нашему	1	3
48	для него	4	3
49	ни было	2	3
50	крайней мере	2	2
51	одним из	3	2
52	и с	3	2
53	самом деле	1	2
54	в итоге	1	2
55	должна быть	1	2
56	мы не	4	2
57	является в	1	2
58	что мы	1	2
59	ничего не	3	2
60	не столько	3	2
61	том что	7	2
62	сводится к	1	2
63	но даже	1	2
64	мы и	1	2
65	меньшей степени	1	2
66	словесного творчества	1	2
67	нам представляется	2	2
68	художественном творчестве	1	2
69	но не	5	2
70	в противовес	3	2
71	не все	1	2
72	в его	4	2
73	по крайней	2	2
74	по существу	3	2
75	что и	2	2
76	более чем	1	2
77	конце концов	1	2
78	но это	3	2
79	в том	10	2
80	тех или	1	2
81	и для	3	2
82	что он	3	2
83	в себе	6	2
84	при таком	1	2
85	в самом	1	2
86	неудивительно что	1	2
87	не в	4	2
88	для всех	5	2
89	вопроса о	1	2
90	в системе	1	2
91	этом отношении	3	2
92	или иных	1	2
93	приходится признать	1	2
94	всех этих	1	2
95	не могут	1	2
96	могут быть	2	2
97	в конце	2	2
98	же самое	1	2
99	не случайно	4	2
100	как раз	2	2
101	тем что	4	2
102	таким образом	1	2
103	даже и	2	2
104	для себя	2	1
105	что такой	1	1
106	литературы а	1	1
107	поэзии и	2	1
108	же как	2	1
109	в исторической	1	1
110	искусство и	1	1
111	в этот	1	1
112	но по	1	1
113	то есть	5	1
114	в виду	2	1
115	деле есть	1	1
116	данном случае	3	1
117	искусства в	1	1
118	классицизму и	1	1
119	и прежде	1	1
120	идет не	1	1
121	в пределах	1	1
122	и др	3	1
123	поэтов и	1	1
124	слова а	1	1
125	никогда не	3	1
126	художественное творчество	1	1
127	как живой	1	1
128	так и	7	1
129	одной стороны	6	1
130	той же	2	1
131	в сфере	4	1
132	относится к	1	1
133	не меньшей	1	1
134	до конца	2	1
135	исторической поэтики	1	1
136	с тем	2	1
137	мы имеем	1	1
138	что никакого	1	1
139	он знает	1	1
140	обращение к	1	1
141	искусство как	1	1
142	в не	1	1
143	как целого	1	1
144	он становится	1	1
145	именно к	1	1
146	в словах	1	1
147	и даже	8	1
148	иначе говоря	1	1
149	можно сказать	1	1
150	не вполне	2	1
151	этой же	1	1
152	произведения как	1	1
153	искусства и	1	1
154	тех кто	4	1
155	как на	3	1
156	приводит к	1	1
157	о том	2	1
158	в ней	4	1
159	и потому	1	1
160	эстетической реальности	1	1
161	и что	2	1
162	и этого	1	1
163	он был	1	1
164	из которых	2	1
165	слово что	1	1
166	пушкин и	1	1
167	словами как	1	1
168	в данном	3	1
169	с момента	1	1
170	стихотворений и	1	1
171	что же	1	1
172	бы в	1	1
173	переходит в	1	1
174	того что	5	1
175	их в	1	1
176	что этот	1	1
177	нет и	1	1
178	за пределы	1	1
179	на то	1	1
180	быть не	2	1
181	него не	2	1
182	и вся	1	1
183	еще один	1	1
184	отнюдь не	4	1
185	для тех	1	1
186	в преодолении	1	1
187	этом случае	2	1
188	впрочем не	2	1
189	но тут	1	1
190	в своем	1	1
191	как нам	1	1
192	что ему	1	1
193	и все	1	1
194	того как	1	1
195	что только	1	1
196	как автора	1	1
197	у кого	1	1
198	тот же	2	1
199	некоторыми другими	1	1
200	путь и	3	1
201	впрочем для	1	1
202	которое мы	1	1
203	представляется что	1	1
204	всего лишь	3	1
205	не было	2	1
206	к архитектонике	1	1
207	с одной	7	1
208	в качестве	5	1
209	но именно	1	1
210	приобретает характер	1	1
211	в известном	1	1
212	объекта в	1	1
213	что по	1	1
214	уже не	2	1
215	далеко не	1	1
216	то и	3	1
217	же в	2	1
218	же автор	1	1
219	что было	2	1
220	в нем	3	1
221	он не	5	1
222	где бы	1	1
223	о которой	2	1
224	а для	1	1
225	только как	1	1
226	именно такой	1	1
227	впервые в	1	1
228	одно из	2	1
229	он и	2	1
230	и понятий	1	1
231	иных приемов	1	1
232	не для	1	1
233	в свое	2	1
234	как феномен	2	1
235	несомненно что	1	1
236	время не	1	1
237	но он	1	1
238	у него	2	1
239	является одним	1	1
240	всего что	1	1
241	ее в	1	1
242	и эта	1	1
243	о литературе	1	1
244	к этому	1	1
245	что в	4	1
246	от слова	3	1
247	существование в	2	1
248	в таком	1	1
249	все что	2	1
250	этот путь	3	1
