N	3gram	Vygotskiy__1	KFilosof
1	не может быть	8	11
2	с точки зрения	2	10
3	может быть только	1	6
4	на самом деле	2	3
5	в этом смысле	2	3
6	между тем как	1	3
7	не было бы	2	3
8	и в этом	1	3
9	может быть в	1	3
10	то что я	2	2
11	в нем нельзя	1	2
12	во всей его	1	2
13	то или иное	2	2
14	и не быть	1	2
15	уже не может	1	2
16	один и тот	1	2
17	ни в каком	1	2
18	вовсе не есть	1	2
19	хiх и хх	1	2
20	вопрос о том	1	2
21	тем не менее	2	2
22	в том что	9	2
23	и тот же	1	2
24	может быть ответственно	1	1
25	но прежде всего	1	1
26	в виду и	1	1
27	на то что	8	1
28	не может не	1	1
29	а следовательно и	1	1
30	то что и	1	1
31	с исчерпывающей ясностью	1	1
32	от себя и	1	1
33	к содержанию как	1	1
34	потому что в	1	1
35	и того же	1	1
36	мы никогда не	4	1
37	хотя бы только	1	1
38	в настоящее время	2	1
39	то что форма	1	1
40	его в движение	1	1
41	в том же	1	1
42	тогда когда оно	1	1
43	что и для	1	1
44	он не может	1	1
45	все дело не	1	1
46	только в том	3	1
47	и во всех	1	1
48	в его конкретной	1	1
49	есть для меня	1	1
50	в зависимости от	5	1
51	мы не имеем	1	1
52	тем или иным	2	1
53	она в целом	1	1
54	независимо от того	1	1
55	в основе своей	1	1
56	несмотря на то	2	1
57	вместе с тем	2	1
58	и тем не	1	1
59	и то что	1	1
60	ту или иную	1	1
61	это и не	1	1
62	быть дано только	1	1
63	том что мы	2	1
64	не потому что	1	1
65	в первом случае	1	1
66	жизни в его	1	1
67	лежит в основе	1	1
68	на задний план	1	1
69	смысле этого слова	2	1
70	в себя и	1	1
71	целом не может	1	1
72	в известном смысле	1	1
73	в том случае	2	1
74	в области методологии	1	1
75	не в том	5	1
76	в нем не	1	1
77	дело в том	1	1
78	во всяком случае	6	1
79	что в области	2	1
80	для того чтобы	5	1
81	для берегов отчизны	1	1
82	вместо того чтобы	1	1
83	в целом не	2	1
84	берегов отчизны дальной	1	1
85	но не могу	1	1
86	в противоречие с	2	1
87	по себе а	2	1
88	но для того	1	1
89	должны быть определены	1	1
90	мы не можем	2	1
91	никогда не может	2	1
92	в свою очередь	1	1
93	само по себе	5	1
94	до конца и	1	1
95	в конечном счете	3	1
96	включает в себя	1	1
97	это отнюдь не	1	1
98	не может стать	2	1
99	и вследствие этого	1	1
100	одного и того	1	1
101	отсюда ясно что	1	1
102	когда мы говорим	1	1
103	все что есть	1	1
104	дело не в	1	1
105	в ту или	1	1
106	не содержится в	1	1
107	том случае когда	1	1
108	может быть дано	1	1
109	что и в	2	1
110	только тогда когда	4	1
111	то же самое	2	1
112	но как и	1	1
