N	2gram	Berdyaev_M_2	KFilosof
1	может быть	21	43
2	в его	5	39
3	в нем	22	31
4	не может	15	27
5	и не	18	26
6	по отношению	2	25
7	и в	46	22
8	в себе	10	21
9	в котором	1	21
10	отношению к	2	21
11	не есть	13	19
12	и его	5	17
13	в ее	1	17
14	а не	13	17
15	только в	3	16
16	в этом	20	13
17	точки зрения	2	13
18	и это	5	12
19	ни в	3	12
20	для него	18	12
21	все эти	1	11
22	как момент	1	11
23	в своей	5	11
24	не в	9	11
25	к нему	2	11
26	во всех	2	10
27	в своем	8	10
28	это не	5	10
29	с точки	1	10
30	все это	1	10
31	из себя	1	10
32	и есть	8	9
33	в целом	1	9
34	бытия и	1	9
35	но и	15	9
36	как бы	8	9
37	и для	7	9
38	и все	5	9
39	момент его	2	8
40	лишь в	2	8
41	было бы	1	8
42	мир в	1	8
43	если бы	3	8
44	не было	11	8
45	жизни и	6	8
46	я должен	1	7
47	то что	5	7
48	во всем	5	7
49	должен быть	4	7
50	и здесь	6	7
51	что и	4	7
52	себя в	4	7
53	я не	5	6
54	момент в	3	6
55	менее всего	3	6
56	отношение к	8	6
57	мира в	1	6
58	он не	10	6
59	лишь момент	2	6
60	в мире	7	6
61	и только	1	6
62	уже не	4	6
63	но это	8	6
64	в том	3	6
65	от своей	2	5
66	но в	10	5
67	жизнь как	1	5
68	не только	18	5
69	то же	5	5
70	но все	1	5
71	его в	3	5
72	как и	13	5
73	должно быть	2	5
74	от его	2	5
75	но эта	2	5
76	не имеет	4	5
77	никогда не	18	5
78	для себя	1	5
79	и единственный	1	5
80	с ним	3	5
81	есть лишь	17	5
82	ее и	2	5
83	в основе	2	5
84	хотя бы	7	5
85	жизни в	3	5
86	не знает	9	5
87	ко всему	1	5
88	проникает в	1	4
89	быть в	1	4
90	в чем	3	4
91	мира но	1	4
92	входит в	1	4
93	не проникает	1	4
94	место в	2	4
95	не по	1	4
96	чем не	2	4
97	мира и	1	4
98	между тем	2	4
99	том что	4	4
100	а в	2	4
101	что в	4	4
102	в своих	3	4
103	бытия а	1	3
104	самом деле	1	3
105	на самом	1	3
106	должна быть	1	3
107	для которого	1	3
108	мы не	1	3
109	что это	6	3
110	в ней	11	3
111	во мне	1	3
112	и на	3	3
113	не могу	6	3
114	тем как	1	3
115	а следовательно	1	3
116	себе и	2	3
117	нет и	1	3
118	независимо от	1	3
119	и этим	2	3
120	к чему	4	3
121	бы и	5	3
122	бы не	2	3
123	прошлое и	1	3
124	для того	5	3
125	всех своих	1	3
126	людей и	3	3
127	в каждом	3	3
128	в другом	1	3
129	нет в	4	3
130	нигде не	1	3
131	тогда когда	2	3
132	ничего не	2	3
133	ибо все	1	3
134	и делает	1	3
135	в час	1	3
136	культуры и	1	3
137	с человеком	1	3
138	о том	3	3
139	и весь	1	3
140	нем и	1	3
141	того что	6	3
142	быть и	2	3
143	а лишь	2	3
144	и тем	1	3
145	есть я	1	3
146	я имею	1	3
147	не дает	1	3
148	был бы	1	3
149	тем что	3	3
150	от того	3	3
151	что не	2	3
152	до конца	4	3
153	в момент	1	3
154	к единому	1	3
155	по своему	1	3
156	смысл в	1	3
157	культурные ценности	1	3
158	сознания и	2	3
159	а все	1	3
160	лишь как	3	3
161	только с	3	3
162	не быть	1	3
163	в свою	4	3
164	на своем	1	3
165	чтобы не	3	2
166	и то	1	2
167	я и	2	2
168	он может	1	2
169	это и	3	2
170	если я	2	2
171	ни у	1	2
172	вопрос о	6	2
173	только это	2	2
174	а для	2	2
