N	3gram	Tiupa_Lite_3	OGranits
1	с точки зрения	3	5
2	не может быть	3	4
3	по отношению к	4	3
4	и т.п и	1	3
5	что иное как	1	2
6	автора героя и	1	2
7	и наконец в	1	2
8	в самом деле	2	2
9	героя и слушателя	1	2
10	полном соответствии с	2	2
11	эстетический объект и	1	2
12	в данном случае	4	2
13	в полном соответствии	2	2
14	с одной стороны	4	2
15	с другой стороны	2	2
16	ничего общего с	1	2
17	не что иное	1	2
18	в том что	4	2
19	мы чувствуем что	1	1
20	в другом месте	1	1
21	этой точки зрения	1	1
22	в хх веке	3	1
23	в книге п.н	1	1
24	более или менее	1	1
25	на самом деле	1	1
26	подобно тому как	2	1
27	то же самое	2	1
28	же время в	1	1
29	в отличие от	5	1
30	между тем как	1	1
31	в этом отношении	5	1
32	то что в	1	1
33	почти никогда не	1	1
34	эстетического объекта и	1	1
35	с этой точки	1	1
36	вместе с ними	1	1
37	но одно дело	1	1
38	ту или иную	1	1
39	для того чтобы	1	1
40	может быть не	1	1
41	если говорить о	1	1
42	состоит в том	2	1
43	тем не менее	1	1
44	и вместе с	2	1
45	и к тому	1	1
46	в связи с	1	1
47	автора и его	1	1
48	а не как	2	1
49	он и не	1	1
50	поэта как и	1	1
51	то же время	7	1
52	все же остается	1	1
53	в конечном счете	1	1
54	на то что	2	1
55	книге п.н медведева	1	1
56	в то же	7	1
57	к тому что	1	1
58	не знает категории	1	1
59	эстетического объекта в	1	1
