N	3gram	Tiupa_Teor_1	Vladivir
1	в том что	8	9
2	в связи с	1	8
3	в то время	1	6
4	тем не менее	3	6
5	по крайней мере	1	4
6	содержит в себе	1	4
7	дело в том	1	3
8	более или менее	2	3
9	с точки зрения	3	3
10	в отличие от	6	3
11	в то же	5	3
12	точно так же	1	3
13	так или иначе	4	3
14	то же время	5	3
15	о том что	1	3
16	также еще и	1	2
17	в данном случае	5	2
18	так и не	4	2
19	в свою очередь	2	2
20	а в том	1	2
21	заключается в том	1	2
22	но дело в	1	2
23	что иное как	1	1
24	а также еще	1	1
25	ни к чему	1	1
26	на котором он	1	1
27	а не с	1	1
28	в том числе	2	1
29	как это делает	1	1
30	не было и	1	1
31	не менее не	1	1
32	себе отчет в	1	1
33	и в то	1	1
34	а также в	1	1
35	бы то ни	1	1
36	сказать что для	1	1
37	при этом в	1	1
38	только то что	1	1
39	на руках и	1	1
40	отчет в том	1	1
41	может быть и	2	1
42	до известной степени	2	1
43	в самом начале	2	1
44	но в то	1	1
45	не содержит в	1	1
46	своем отношении к	1	1
47	и не могла	1	1
48	не может быть	4	1
49	он оказывается в	1	1
50	мы имеем не	1	1
51	к чему не	1	1
52	можно сказать что	2	1
53	в этом смысле	2	1
54	больше и больше	1	1
55	не что иное	1	1
56	в сравнении с	1	1
57	никак не может	1	1
58	для того чтобы	1	1
