N	2gram	Propp_Russ_1	VerxiiNi
1	и в	36	26
2	таким образом	6	22
3	с тем	8	18
4	в этом	12	15
5	вместе с	10	15
6	точки зрения	3	13
7	как бы	5	12
8	в том	17	11
9	из этих	4	10
10	не только	22	10
11	и с	2	10
12	может быть	8	10
13	после смерти	1	10
14	связи с	4	9
15	в области	3	9
16	так как	15	9
17	но и	16	9
18	что в	19	9
19	но не	2	8
20	в общем	1	8
21	главным образом	2	8
22	и у	5	8
23	и не	6	8
24	как на	1	8
25	но в	2	7
26	связанные с	3	7
27	но все	3	7
28	из них	8	7
29	том что	19	7
30	потому что	10	7
31	к нему	1	7
32	то что	6	7
33	а с	4	7
34	того же	1	6
35	представление о	3	6
36	все же	5	6
37	все эти	2	6
38	в себе	1	6
39	всяком случае	1	6
40	с точки	3	6
41	к тому	4	6
42	так и	7	6
43	о том	8	6
44	что и	7	6
45	несмотря на	3	6
46	и потому	2	6
47	все это	6	6
48	мы должны	2	6
49	во всяком	1	6
50	и к	3	5
51	тому же	1	5
52	в силу	2	5
53	не имеет	6	5
54	с другом	1	5
55	в его	2	5
56	а не	2	5
57	к жизни	3	5
58	друг с	1	5
59	и для	2	5
60	так же	3	5
61	то же	3	4
62	в течение	5	4
63	целый ряд	1	4
64	в этой	1	4
65	и по	8	4
66	что все	1	4
67	то есть	3	4
68	должен был	1	4
69	он не	1	4
70	далеко не	3	4
71	в которых	5	4
72	в то	1	4
73	в нем	2	4
74	а в	9	4
75	и что	4	4
76	только в	4	4
77	к своим	1	4
78	на этот	3	4
79	не может	4	4
80	из которых	1	4
81	в так	1	4
82	в этих	3	4
83	во время	14	4
84	что он	1	4
85	в виде	6	4
86	же как	1	3
87	на западе	2	3
88	из всех	1	3
89	не вполне	1	3
90	большей частью	1	3
91	в народном	1	3
92	если в	3	3
93	в своем	3	3
94	когда он	2	3
95	и как	2	3
96	в которой	1	3
97	что это	3	3
98	и те	3	3
99	при этом	6	3
100	русского народа	3	3
101	подойти к	2	3
102	и при	1	3
103	тем не	3	3
104	если бы	1	3
105	не менее	3	3
106	русский народ	1	3
107	представляет собой	4	3
108	в других	11	3
109	и о	1	3
110	по учению	1	3
111	можно сказать	1	3
112	того что	4	3
113	в качестве	3	3
114	так что	2	3
115	уже не	6	3
116	что эти	1	3
117	в одном	3	3
118	к ним	3	3
119	случае не	1	3
120	с ней	2	3
121	в связи	4	3
122	отношению к	1	3
123	и другие	13	3
124	к этому	4	3
125	в таком	1	3
126	точно так	1	3
127	из византии	1	3
128	в русских	1	2
129	и это	1	2
130	мы имеем	4	2
131	надо было	1	2
132	такое положение	1	2
133	еще не	4	2
134	и на	10	2
135	с его	1	2
136	во всех	4	2
137	в китае	1	2
138	отличаются от	1	2
139	относится к	1	2
140	общего с	1	2
141	что именно	2	2
142	некоторые из	1	2
143	и наконец	1	2
144	на то	1	2
145	не к	1	2
146	не как	1	2
147	и связанные	2	2
148	его от	2	2
149	состоит в	8	2
150	те же	1	2
151	к другу	2	2
152	на все	2	2
153	с целью	2	2
154	с которого	1	2
155	в них	6	2
156	не всегда	1	2
157	мы видели	1	2
158	но если	1	2
159	взгляд на	1	2
160	которые в	1	2
161	в россии	4	2
162	иной раз	1	2
163	вплоть до	4	2
164	для каждого	1	2
165	тогда когда	1	2
166	ее с	1	2
167	не могло	1	2
168	в разных	3	2
169	в русском	4	2
170	так например	6	2
171	этом отношении	1	2
172	ему в	1	2
173	не потому	1	2
174	и здесь	2	2
175	начиная с	3	2
176	не могут	1	2
177	в среде	1	2
178	и другой	3	2
179	ничего общего	2	2
180	и сами	1	2
181	приводит к	3	2
182	в образе	2	2
183	не с	3	2
184	связанных с	1	2
185	должны признать	1	2
186	для этого	2	2
187	в виду	1	2
188	гораздо менее	1	2
189	а также	3	2
190	должно было	2	2
191	между тем	7	2
192	наконец в	1	2
193	исторического развития	1	2
194	быть и	2	2
195	один из	8	2
196	тот же	1	2
197	и действительно	1	2
198	очень много	1	2
199	от них	3	2
200	уже в	1	2
201	в начале	1	2
202	свидетельствует о	1	2
203	одно из	5	2
204	мы можем	2	2
205	но вместе	1	2
206	из своих	1	2
207	и из	3	2
208	к которому	1	2
209	связано с	1	2
210	не было	2	2
211	и все	1	2
212	так называемой	3	2
213	в одно	1	2
214	если не	1	2
215	должна была	2	2
216	уже давно	1	2
217	у славян	1	2
218	по своему	1	2
219	по существу	4	2
220	что мы	1	2
221	только для	2	2
222	или по	1	2
223	тем и	2	2
224	при таком	1	2
225	о котором	1	2
226	с богослужением	1	2
227	в свою	3	2
228	сказать что	1	2
229	ко всему	1	2
230	ли они	1	2
231	жизни и	1	2
232	можно назвать	1	2
233	все что	1	2
234	сидит он	1	1
235	как известно	2	1
236	можно говорить	2	1
237	и римлян	1	1
238	к их	1	1
239	таком случае	1	1
240	чтобы не	1	1
241	в этот	10	1
242	рассматривается как	1	1
243	которого в	2	1
244	самом деле	1	1
245	но тем	2	1
246	что дает	1	1
247	тем же	1	1
248	полагают что	1	1
249	в первом	1	1
250	и до	2	1
251	разных народов	1	1
252	и развитие	1	1
253	чем именно	1	1
254	и могут	1	1
255	несколько иной	1	1
256	мы уже	1	1
257	их и	3	1
258	далее в	2	1
259	мы не	6	1
260	было известно	1	1
261	греков и	1	1
262	этого момента	3	1
263	этом не	1	1
264	не символ	1	1
265	любовью к	1	1
266	как бог	3	1
267	не совсем	4	1
268	с религиозными	1	1
269	же что	1	1
270	жизни это	1	1
271	кто же	1	1
272	необходимо было	1	1
273	в ней	2	1
274	на них	1	1
275	за это	1	1
276	в чем	1	1
277	природы и	2	1
278	а следовательно	1	1
279	друг к	2	1
280	землю и	1	1
281	к нам	2	1
282	же она	1	1
283	одном и	1	1
284	по отношению	1	1
285	а и	5	1
286	более как	1	1
287	отличие от	1	1
288	что они	7	1
289	с русскими	1	1
