N	3gram	Bakhtin_Pr_4	Morfolog
1	в этих случаях	2	13
2	в этом случае	1	9
3	в связи с	1	8
4	не может быть	8	8
5	то перед нами	4	5
6	по отношению к	5	4
7	с точки зрения	9	4
8	с другой стороны	3	4
9	как мы увидим	3	3
10	можно наблюдать что	1	3
11	если мы не	1	3
12	может быть разрешен	1	3
13	но все же	1	3
14	как и в	3	3
15	более или менее	3	2
16	для наших целей	2	2
17	в собственном смысле	1	2
18	и в других	2	2
19	может быть и	1	2
20	и пр он	1	2
21	с одной стороны	1	2
22	друг на друга	2	2
23	собственном смысле слова	1	2
24	в большинстве случаев	8	2
25	друг за другом	1	2
26	в том что	2	2
27	хотя и не	2	1
28	вовсе не с	1	1
29	нужно иметь в	1	1
30	а вовсе не	1	1
31	здесь перед нами	1	1
32	героя может быть	1	1
33	том что он	1	1
34	самого начала в	1	1
35	как бы в	3	1
36	иногда же она	1	1
37	точки зрения его	1	1
38	ко второму типу	1	1
39	то это совершенно	1	1
40	до сих пор	8	1
41	сих пор не	2	1
42	если же он	1	1
43	мы переходим к	1	1
44	относится ко второму	1	1
45	так как мы	1	1
46	можно было бы	2	1
47	он как бы	1	1
48	хотя и здесь	1	1
49	одно и то	1	1
50	героя а не	1	1
51	и в некоторых	1	1
52	там где есть	1	1
53	в том или	1	1
54	в данном случае	1	1
55	на этот вопрос	2	1
56	том или другом	2	1
57	и заставляет его	1	1
58	важное значение для	1	1
59	в сущности вовсе	1	1
60	они играют в	1	1
61	а не первого	1	1
62	и то же	1	1
63	не входит в	1	1
64	может быть или	1	1
65	то мы не	1	1
66	иметь в виду	1	1
67	перед нами в	1	1
68	во всяком случае	1	1
69	один из его	1	1
70	вместо того чтобы	1	1
71	самом деле в	1	1
72	сюда же относится	1	1
73	еще мал и	1	1
74	так как его	1	1
75	то же время	5	1
76	мы имеем в	3	1
77	и как их	1	1
78	о том что	2	1
79	то что не	1	1
80	с самого начала	1	1
81	эта форма в	1	1
82	той или иной	2	1
83	двух точек зрения	2	1
84	можно сказать что	2	1
85	в то же	5	1
86	к тому что	1	1
87	типа а не	1	1
88	друг с другом	5	1
89	на его жизнь	1	1
90	дело не в	1	1
91	но в этом	1	1
92	перед нами опять	1	1
93	следует за ней	1	1
94	но для наших	1	1
