N	3gram	Vygotskiy__2	Sotsiolo
1	и заключается что	1	2
2	в том что	17	2
3	в конце концов	3	2
4	не в том	2	2
5	в том и	2	1
6	а между тем	1	1
7	только то что	1	1
8	по крайней мере	1	1
9	то же самое	6	1
10	о том как	1	1
11	и что на	1	1
12	в конечном счете	3	1
13	благодаря тому что	1	1
14	не было бы	1	1
15	друг от друга	1	1
16	по самому существу	1	1
17	в то же	2	1
18	придется не один	1	1
19	что в них	1	1
20	а с другой	1	1
21	в этой области	2	1
22	что все это	2	1
23	выходит за пределы	1	1
24	самому существу своему	1	1
25	в связи с	1	1
26	ни на что	1	1
27	все эти вопросы	1	1
28	то же время	2	1
29	это происходит не	1	1
30	в противном случае	1	1
31	с одной стороны	1	1
32	том и заключается	2	1
33	во всяком случае	2	1
