N	2gram	Losev_Dial_3	Formalny
1	т е	48	32
2	и не	27	30
3	вовсе не	13	28
4	и в	24	27
5	может быть	13	25
6	не может	19	24
7	так и	5	21
8	и его	5	19
9	в этом	8	18
10	таким образом	13	18
11	а не	26	17
12	самом деле	6	16
13	точки зрения	25	16
14	то же	6	15
15	в нем	3	15
16	в процессе	1	15
17	и пр	6	15
18	между ними	1	15
19	на самом	1	14
20	как и	7	14
21	с точки	14	14
22	не в	3	12
23	если бы	6	12
24	и т	24	11
25	в самом	7	11
26	и от	3	11
27	не могут	4	10
28	место в	1	10
29	но и	9	10
30	не только	23	9
31	так как	6	9
32	так же	4	9
33	отнюдь не	10	8
34	как бы	3	8
35	при этом	2	8
36	ни в	9	8
37	как мы	2	8
38	только в	5	8
39	как раз	7	8
40	то что	14	8
41	и все	6	8
42	что в	7	8
43	не менее	11	7
44	же время	3	7
45	потому что	7	7
46	его в	1	7
47	в его	2	7
48	в том	5	7
49	если мы	1	7
50	все это	6	7
51	совершенно не	2	7
52	в то	5	7
53	еще не	2	6
54	и понимания	2	6
55	но в	2	6
56	все эти	3	6
57	т д	23	6
58	и ее	3	6
59	всяком случае	2	6
60	все время	3	6
61	было бы	5	6
62	что он	13	6
63	с другой	4	6
64	вместе с	1	6
65	в данном	2	6
66	все же	3	6
67	и для	2	6
68	бы в	2	6
69	хотя бы	4	6
70	в своих	2	6
71	во всяком	2	6
72	в зависимости	2	5
73	зависимости от	3	5
74	но не	2	5
75	в истории	4	5
76	в одной	3	5
77	независимо от	1	5
78	что именно	3	5
79	ни было	1	5
80	если же	8	5
81	в ней	2	5
82	никогда не	7	5
83	связи с	1	5
84	друг друга	3	5
85	тем что	3	5
86	и потому	2	5
87	тому как	4	5
88	что же	11	5
89	и формы	2	5
90	в результате	1	5
91	другой стороны	2	5
92	не есть	54	4
93	мы не	5	4
94	он был	1	4
95	бы то	2	4
96	и как	8	4
97	но ведь	1	4
98	в корне	1	4
99	подобно тому	4	4
100	то ни	1	4
101	данном случае	1	4
102	в ее	1	4
103	в слове	3	4
104	мы знаем	3	4
105	том что	8	4
106	жизнь не	2	4
107	по себе	20	4
108	она не	3	4
109	в смысле	2	4
110	тогда когда	5	4
111	мы можем	1	4
112	и является	2	4
113	могут быть	2	4
114	к тому	4	4
115	следовательно и	2	4
116	и восприятия	1	4
117	о том	6	4
118	же и	2	4
119	конечно не	4	4
120	только на	7	4
121	содержания и	1	4
122	видения и	1	4
123	для того	3	4
124	со стороны	2	4
125	прежде всего	8	4
126	в связи	1	4
127	как это	5	4
128	да и	1	4
129	слова и	1	4
130	из этого	2	4
131	жизни и	5	4
132	они не	2	4
133	же как	2	3
134	должна быть	6	3
135	мы уже	3	3
136	той же	3	3
137	субъективное сознание	1	3
138	мы и	4	3
139	в виду	7	3
140	целое и	2	3
141	и на	3	3
142	во всех	1	3
143	как таковая	3	3
144	то мы	1	3
145	то он	1	3
146	нет и	4	3
147	самое понятие	1	3
148	нового и	1	3
149	бы и	1	3
150	что это	12	3
151	в себе	2	3
152	и с	6	3
153	это не	4	3
154	как абстрактной	1	3
155	и тем	2	3
156	ее в	2	3
157	он и	3	3
158	как таковой	2	3
159	раз и	3	3
160	в этих	1	3
161	от его	2	3
162	творчества и	1	3
163	и более	1	3
164	как от	1	3
165	тому что	4	3
166	в основе	3	3
