N	2gram	Voloshinov_1	SlovoVZh
1	не может	4	16
2	может быть	1	14
3	точки зрения	1	14
4	и в	3	12
5	и не	1	10
6	если бы	1	9
7	художественного произведения	1	7
8	в ней	1	6
9	то же	1	5
10	а не	1	5
11	социального общения	2	4
12	не только	1	4
13	и на	1	4
14	но и	1	3
15	для него	1	3
16	не менее	1	3
17	социологического анализа	1	2
18	в его	1	2
19	этого общения	1	2
20	общения и	2	2
21	в особенности	1	2
22	на примере	1	2
23	с другими	1	2
24	смысл и	1	2
25	судебного процесса	1	2
26	с точки	1	2
27	в то	1	2
28	и все	1	2
29	произведения но	1	1
30	и больше	1	1
31	нуждаются в	1	1
32	это направление	1	1
33	и можно	1	1
34	так называемая	1	1
35	оторвано от	1	1
36	которые определяют	1	1
37	права и	1	1
38	не из	1	1
39	речь и	1	1
40	несмотря на	1	1
41	подхода к	1	1
42	и тому	1	1
43	и форму	1	1
44	же время	1	1
45	связи с	1	1
46	ситуации и	1	1
47	может и	1	1
48	о литературе	1	1
49	вполне понятно	1	1
50	к тому	1	1
