N	2gram	Nazirov_Tr_1	Retstnzi
1	не может	5	4
2	и в	18	3
3	в центре	1	2
4	достоевского и	1	2
5	один из	3	2
6	на нее	1	1
7	то же	5	1
8	не из	1	1
9	в ней	1	1
10	может быть	7	1
11	второй части	1	1
12	по делу	1	1
13	и не	7	1
14	в его	3	1
15	ситуации и	1	1
16	он в	1	1
17	связи с	1	1
18	впадает в	1	1
19	не только	8	1
20	не менее	1	1
21	для него	3	1
22	тому что	1	1
23	как искусство	1	1
24	к тому	2	1
25	в особенности	1	1
26	несмотря на	5	1
27	и все	4	1
28	в то	5	1
29	бы в	1	1
30	русской литературы	2	1
31	но и	4	1
32	и на	7	1
33	не смог	1	1
34	мы видим	1	1
35	и должно	1	1
36	же время	6	1
37	событий и	1	1
38	а не	1	1
