N	4gram	Potebnia_M_2	KulturaY
1	в той мере в	1	5
2	той мере в какой	1	5
3	по мере того как	4	3
4	в том что он	1	3
5	состоит в том что	1	3
6	в том что оно	1	2
7	одного и того же	6	2
8	и т д и	1	2
9	в то же время	2	2
10	одно и то же	2	1
11	и во многих других	1	1
12	на более или менее	1	1
13	значат то что они	1	1
14	в свою очередь есть	1	1
15	то что они значат	1	1
16	не для того чтобы	1	1
17	в том случае если	1	1
18	что же касается до	1	1
19	но во всяком случае	3	1
20	не в том что	1	1
21	в том смысле что	1	1
22	лишь в той мере	1	1
23	в применении к языку	1	1
24	смысле этого слова и	1	1
