N	3gram	Tiupa_Anal_2	UchenyiS
1	в конечном счете	2	4
2	не может быть	1	4
3	с другой стороны	2	3
4	то же время	2	3
5	в то же	2	3
6	а между тем	1	2
7	в самом деле	1	2
8	в этом смысле	2	2
9	то же самое	1	2
10	хотя бы и	1	2
11	в этом отношении	3	2
12	в том что	6	2
13	в противном случае	1	2
14	по крайней мере	3	2
15	и то что	2	2
16	тех или иных	2	2
17	еще ничего не	1	2
18	нам представляется что	1	1
19	так или иначе	1	1
20	то что все	1	1
21	не случайно и	1	1
22	более или менее	1	1
23	в этом случае	4	1
24	же самое что	1	1
25	бы это было	1	1
26	в первую очередь	1	1
27	можно сказать что	1	1
28	на то что	2	1
29	друг с другом	1	1
30	по его собственному	1	1
31	а не только	2	1
32	в данном случае	5	1
33	они относятся к	1	1
34	и т.д в	1	1
35	не только в	2	1
36	с одной стороны	4	1
