1	в то же время	3	5
2	на вопрос о том	1	4
3	и тем не менее	2	3
4	и в самом деле	1	3
5	в том отношении что	1	3
6	нельзя не признать очень	1	2
7	заключается в том что	2	2
8	одной и той же	1	2
9	состоит в том что	2	2
10	с этой точки зрения	1	1
11	тем или иным признакам	1	1
12	и в конце концов	1	1
13	том виде в каком	1	1
14	в собственном смысле этого	1	1
15	это сказалось в том	1	1
16	сказалось в том что	1	1
17	в том что такое	1	1
18	в первом из этих	1	1
19	по тем или иным	1	1
20	второй половины xviii в	1	1
21	отчет в том что	1	1
22	в том что не	1	1
23	в том виде в	1	1
24	в связи с этим	1	1
25	и в этом смысле	2	1
26	с тем что в	1	1
27	не говоря уже о	1	1
28	и это сказалось в	1	1
29	если принять во внимание	1	1
