N	2gram	Bakhtin_Fr_2	Hudozhes
1	том что	4	16
2	и в	49	14
3	так и	6	13
4	не только	17	12
5	при этом	5	12
6	о том	3	12
7	в том	3	12
8	а не	1	12
9	в себе	4	11
10	в этом	15	11
11	прежде всего	19	11
12	в своей	5	10
13	для него	9	10
14	то же	7	9
15	как и	11	9
16	что он	3	9
17	в качестве	2	9
18	у него	2	9
19	по отношению	1	8
20	в этой	10	8
21	как в	1	8
22	то что	6	8
23	же время	6	8
24	ничего не	2	8
25	в его	18	8
26	отношению к	1	8
27	в то	6	8
28	еще не	2	7
29	это не	1	7
30	своего рода	1	7
31	не в	1	7
32	к тому	1	7
33	именно в	6	7
34	не может	7	7
35	как бы	11	7
36	а в	4	7
37	было бы	3	6
38	никогда не	5	6
39	жизни в	3	6
40	что в	2	6
41	самом деле	1	5
42	с его	5	5
43	перед нами	1	5
44	но в	4	5
45	об этом	1	5
46	ни в	3	5
47	точки зрения	6	5
48	не менее	1	5
49	и его	17	5
50	потому что	1	5
51	к себе	1	5
52	и он	1	5
53	можно было	3	5
54	во второй	1	5
55	только в	13	5
56	может быть	5	5
57	но и	13	5
58	в частности	1	5
59	в этих	4	5
60	одновременно и	1	5
61	жизни и	7	5
62	мы уже	6	4
63	и о	4	4
64	в ней	2	4
65	в центре	1	4
66	в своем	5	4
67	и к	4	4
68	в самом	3	4
69	та же	2	4
70	на то	2	4
71	он не	1	4
72	и с	6	4
73	несмотря на	3	4
74	с ним	4	4
75	она не	1	4
76	связи с	2	4
77	в духе	4	4
78	и это	3	4
79	можно сказать	2	4
80	того что	1	4
81	т с	1	4
82	один из	7	4
83	из них	3	4
84	в конце	2	4
85	как раз	1	4
86	не было	4	4
87	и все	3	4
88	бытия и	1	4
89	и от	1	4
90	по преимуществу	2	3
91	с точки	5	3
92	видит в	3	3
93	в мире	2	3
94	и на	17	3
95	в ее	3	3
96	как к	2	3
97	все же	7	3
98	но он	6	3
99	в нем	9	3
100	и по	1	3
101	на этом	1	3
102	лишь в	4	3
103	его в	1	3
104	даже в	3	3
105	и смерти	5	3
106	в своих	4	3
107	все эти	7	3
108	тем что	4	3
109	этом отношении	3	3
110	для себя	1	3
111	как мы	7	3
112	того чтобы	2	3
113	в пределах	2	3
114	первой половине	1	3
115	и когда	1	3
116	еще в	2	3
117	если бы	1	3
118	о нем	1	3
119	это в	2	3
120	рассказы и	1	3
121	романа в	1	3
122	в лице	1	3
123	же в	3	3
124	в литературе	6	3
125	но не	5	3
126	будто бы	1	3
127	во введении	1	3
128	и даже	2	3
129	превращается в	3	3
130	характера в	1	3
131	в связи	2	3
132	в творчестве	6	3
133	по своему	1	3
134	такого рода	2	3
135	своего времени	2	3
136	и для	1	3
137	говоря о	1	2
138	например в	1	2
139	на самом	2	2
140	только потому	1	2
141	оно было	1	2
142	в их	2	2
143	той же	1	2
144	для своего	1	2
145	к своему	1	2
146	в противовес	1	2
147	себе и	2	2
148	в произведениях	2	2
149	в одной	1	2
150	в художественном	2	2
151	хотя и	2	2
152	в целом	1	2
153	жизни так	1	2
154	так в	3	2
155	только на	1	2
156	раз в	3	2
157	так сказать	1	2
158	на его	2	2
159	ключ к	2	2
160	когда все	1	2
161	в первую	2	2
162	значительной степени	2	2
163	и ей	1	2
164	в другом	2	2
165	ясно что	1	2
166	того или	1	2
167	первую очередь	1	2
168	особенно в	2	2
169	одной из	2	2
170	автора и	2	2
171	в такой	1	2
172	в первый	1	2
173	сих пор	4	2
174	все это	9	2
175	не о	1	2
176	одна из	4	2
177	с и	1	2
178	для всего	1	2
179	жизни на	1	2
180	к читателю	1	2
181	не слышит	1	2
182	литературного творчества	1	2
183	с ее	3	2
184	здесь не	2	2
185	на основе	2	2
186	характер и	4	2
187	в себя	6	2
188	о своей	1	2
189	до сих	4	2
190	там же	2	2
191	в значительной	3	2
192	или напротив	1	2
193	в форме	4	2
194	деле в	1	2
