N	2gram	Nazirov_Tv_1	ViktorSh
1	в книге	3	3
2	конце концов	1	2
3	в том	7	2
4	и в	21	2
5	в конце	1	2
6	том что	11	2
7	дело в	3	1
8	только в	5	1
9	и не	7	1
10	то же	13	1
11	по крайней	2	1
12	что сами	1	1
13	так как	3	1
14	все время	1	1
15	и его	6	1
16	не одно	1	1
17	к этому	2	1
18	так в	1	1
19	да и	1	1
20	для них	1	1
21	к чему	1	1
22	в этом	6	1
23	крайней мере	2	1
24	столь же	1	1
25	с большой	4	1
26	том же	1	1
27	в их	3	1
28	именно в	2	1
29	связанным с	1	1
30	стоило бы	1	1
31	в частности	2	1
32	за свою	1	1
33	потому что	5	1
34	далеко не	3	1
35	чего не	1	1
36	хотя бы	5	1
37	в самом	3	1
38	время в	3	1
39	от других	2	1
40	все это	10	1
41	гораздо более	2	1
42	ведь это	1	1
43	но это	5	1
44	более к	1	1
45	же с	2	1
46	самом деле	2	1
47	тем более	1	1
48	я не	3	1
49	нет есть	1	1
