N	3gram	Propp_Isto_6	VrazhdaK
1	не может быть	3	2
2	в том что	5	2
3	это то что	1	1
4	никогда не переставал	1	1
5	правда давно уже	1	1
6	на первый план	2	1
7	до сих пор	4	1
8	и не может	1	1
9	при этом он	1	1
10	независимо от того	1	1
11	что в нем	2	1
12	но это не	1	1
13	точно так же	2	1
14	за что же	1	1
15	и то что	1	1
16	одно и то	1	1
17	о том как	3	1
18	так же как	1	1
19	говорилось выше и	1	1
20	но в целом	1	1
21	на первый взгляд	1	1
22	и то же	1	1
23	но при этом	1	1
24	а с другой	1	1
25	все же не	1	1
26	во всяком случае	2	1
27	что у него	1	1
28	с другой стороны	8	1
29	как бы в	1	1
30	тем не менее	1	1
31	о чем говорилось	1	1
32	у него в	1	1
33	в то время	3	1
34	что в ней	1	1
35	о том что	4	1
36	не забудем что	1	1
37	и из него	1	1
38	на то что	1	1
39	речь идет о	1	1
