1	и в самом деле	2	3
2	и т п в	3	3
3	и т п но	1	3
4	до сих пор еще	1	3
5	не говоря уже о	1	2
6	я имею в виду	1	2
7	в той или иной	1	2
8	одним и тем же	2	2
9	в самом деле не	1	2
10	и в этом случае	2	1
11	в том смысле что	1	1
12	за кого же нужно	1	1
13	в том-то и дело	1	1
14	вовсе не в том	1	1
15	с точки зрения их	2	1
16	что бы то ни	1	1
17	как в самом деле	1	1
18	в данном случае можно	1	1
19	не только в том	1	1
20	и т д и	2	1
21	в то или иное	1	1
22	и вы увидите что	1	1
23	и я не сомневаюсь	1	1
24	с нашей точки зрения	1	1
25	в том отношении что	2	1
26	том-то и дело что	1	1
27	т д и т	1	1
28	той мере в какой	1	1
29	и т д но	4	1
30	т п но если	1	1
31	заключается вовсе не в	1	1
32	и т п которые	1	1
33	д и т д	1	1
34	и в то же	1	1
35	только в том случае	1	1
36	во что бы то	1	1
37	заключается в том что	2	1
38	ставит себе целью дать	1	1
39	тем более что и	1	1
40	в то же время	4	1
41	для каждой из этих	1	1
42	в целом ряде случаев	1	1
43	что он не знает	1	1
44	не надо думать будто	1	1
45	в том чтобы выяснить	1	1
46	бы то ни стало	1	1
47	одних и тех же	1	1
48	я не сомневаюсь что	1	1
49	о них вообще можно	1	1
50	что и в этом	1	1
51	уже о том что	1	1
52	но также и в	1	1
53	это и в самом	1	1
54	на вопрос о значении	1	1
55	в той мере в	1	1
