N	3gram	Berdyaev_N_1	StatiiOP
1	в том что	1	16
2	о том что	1	11
3	до сих пор	1	5
4	вместе с тем	2	5
5	вопрос о том	2	3
6	с другой стороны	2	3
7	так же как	2	3
8	во всяком случае	1	3
9	в отличие от	1	2
10	совершенно так же	1	2
11	в значительной степени	1	2
12	только потому что	1	2
13	то что в	1	2
14	сами по себе	1	2
15	не в том	1	2
16	то что он	1	2
17	в том смысле	1	2
18	себе и в	1	1
19	с общественным мнением	1	1
20	в этом смысле	2	1
21	в том числе	1	1
22	и замечательно что	1	1
23	и пр в	1	1
24	и в наши	1	1
25	и вместе с	1	1
26	в известном смысле	1	1
27	имея в виду	1	1
28	должно было быть	1	1
29	что в этом	1	1
30	я не могу	1	1
31	большую роль в	2	1
32	но я не	1	1
33	в то время	1	1
34	начала xix века	1	1
35	он не может	2	1
36	и быть не	1	1
37	в наши дни	3	1
38	в зависимости от	1	1
39	в высшей степени	6	1
40	истории и к	1	1
41	совсем не в	2	1
42	к одному из	1	1
43	в том чтобы	1	1
44	вполне возможно что	1	1
