N	2gram	Losev_Dial_4	IolandNe
1	и с	4	3
2	и не	30	2
3	в этом	11	2
4	он не	1	2
5	что в	7	2
6	ничего не	17	2
7	бы что	1	2
8	же это	5	1
9	себя в	2	1
10	все это	9	1
11	нисколько не	2	1
12	и тот	1	1
13	все четыре	1	1
14	и в	15	1
15	только что	2	1
16	и о	8	1
17	я не	5	1
18	то и	2	1
19	то она	1	1
20	бы в	4	1
21	как только	5	1
22	стало быть	15	1
23	с другой	1	1
24	и та	3	1
25	это было	2	1
26	а в	1	1
27	вплоть до	1	1
28	доказать что	1	1
29	так то	4	1
30	того что	13	1
31	данной личности	2	1
32	не дает	2	1
33	и без	2	1
34	цель и	2	1
35	как о	2	1
36	другой стороны	2	1
37	остается как	1	1
38	и еще	1	1
39	в первую	1	1
40	не так	1	1
41	нее и	1	1
42	в основе	10	1
43	что для	1	1
44	говорить о	11	1
45	есть только	3	1
46	видит в	1	1
47	а если	3	1
48	так и	5	1
49	его цель	1	1
50	от этого	3	1
51	того чтобы	5	1
52	никогда не	2	1
53	о ней	2	1
54	только для	3	1
55	жизни и	4	1
56	и очень	1	1
57	факты и	2	1
58	и ничего	2	1
59	тех же	2	1
60	тем что	2	1
61	введение в	1	1
62	очевидно что	1	1
63	в них	2	1
64	все эти	3	1
65	но когда	1	1
66	по существу	1	1
67	от нее	3	1
68	если бы	6	1
69	для того	5	1
70	без этого	1	1
