N	3gram	Vygotskiy__4	Tragedij
1	то же время	1	5
2	в то же	1	5
3	точно так же	3	2
4	и в частности	2	2
5	о том что	10	2
6	и в самом	2	2
7	в том что	12	2
8	но еще раз	1	1
9	том что он	3	1
10	имеет в виду	1	1
11	у него нет	1	1
12	и не может	1	1
13	сам по себе	2	1
14	в той же	1	1
15	что он не	4	1
16	в третий раз	1	1
17	не может жить	1	1
18	и т п	3	1
19	все это мы	1	1
20	за то что	3	1
21	что все это	1	1
22	никогда не был	1	1
23	это как бы	1	1
24	своего отца он	1	1
25	в этом романе	1	1
26	в виду не	1	1
27	или как говорит	1	1
28	во всяком случае	3	1
29	в конце концов	3	1
30	смысле этого слова	3	1
31	и в этом	3	1
32	что в таком	1	1
33	то что он	3	1
34	вместо того чтобы	2	1
35	не может быть	1	1
36	на русский язык	1	1
37	и вместе с	1	1
38	это и есть	3	1
39	что в ней	2	1
40	с самого начала	5	1
41	не только не	2	1
42	как бы нарочно	1	1
43	мысль о том	1	1
44	в самом деле	7	1
45	мы узнаем в	1	1
46	несмотря на все	1	1
47	с тем и	1	1
48	жизнь и в	1	1
49	к тому что	5	1
50	это не просто	3	1
51	может быть в	1	1
