N	3gram	Bakhtin_Fr_1	Hudozhes
1	по отношению к	1	10
2	в отличие от	4	7
3	то же время	1	6
4	в то же	1	6
5	с другой стороны	1	5
6	той или иной	5	5
7	в том что	6	5
8	так и не	3	4
9	с точки зрения	3	3
10	можно сказать что	1	3
11	в той или	5	2
12	в основе своей	2	2
13	до известной степени	1	2
14	в значительной степени	2	2
15	с одной стороны	2	2
16	для того чтобы	1	2
17	том числе и	7	2
18	в том числе	10	2
19	и прежде всего	3	2
20	однако и в	1	1
21	по своей природе	1	1
22	нет в его	1	1
23	к которому впервые	1	1
24	имеем в виду	1	1
25	в настоящее время	1	1
26	этой своей отъединенности	1	1
27	так и его	1	1
28	умения отрешиться от	1	1
29	можно говорить о	1	1
30	встречаемся с ним	1	1
31	не входит в	2	1
32	при этом что	1	1
33	карнавал переживаемый в	1	1
34	начало и конец	1	1
35	для него не	1	1
36	и др в	2	1
37	говорит в частности	1	1
38	во всей своей	1	1
39	то или иное	1	1
40	это особого рода	1	1
41	на время в	1	1
42	человека с его	1	1
43	речь идет не	1	1
44	то есть его	1	1
45	как раз в	1	1
46	отношений между людьми	1	1
47	в особенности в	1	1
48	в самом начале	1	1
49	можно даже сказать	1	1
50	и его эстетической	1	1
51	мы встречаемся с	1	1
52	контакт между всеми	1	1
53	в себя и	1	1
54	в известном смысле	1	1
55	того что не	1	1
56	бы карнавал переживаемый	1	1
57	до того времени	1	1
58	не могут быть	1	1
59	или иной форме	4	1
60	переживаемый в одиночку	1	1
61	в связи с	1	1
62	между всеми людьми	1	1
63	как бы в	1	1
64	и в том	2	1
65	все то что	1	1
66	именно эта сторона	1	1
67	в свое время	2	1
68	по ту сторону	1	1
69	за пределы всего	1	1
70	как бы карнавал	1	1
71	в основе его	2	1
72	которая характерна для	1	1
73	имея в виду	1	1
74	фамильярный контакт между	1	1
75	во внешнем мире	1	1
76	отдельности и в	1	1
77	в одиночку с	1	1
78	то есть в	4	1
79	включает в себя	1	1
80	именно потому что	1	1
81	он еще не	1	1
82	мы имеем в	1	1
83	бы они ни	1	1
84	друг от друга	1	1
85	в глаза в	1	1
86	одиночку с острым	1	1
87	в области литературы	2	1
88	тех или иных	1	1
89	в отношении к	1	1
90	в узком и	1	1
91	том что он	1	1
92	не может быть	1	1
93	вольный фамильярный контакт	1	1
94	к тому же	1	1
95	с самим собой	1	1
