N	3gram	Vinokur_Ku_1	OGranits
1	с точки зрения	9	5
2	не может быть	3	4
3	по отношению к	8	3
4	одно и то	1	3
5	что иное как	1	2
6	истории языка и	1	2
7	в пределах данной	1	2
8	в самом деле	7	2
9	в зависимости от	5	2
10	с одной стороны	1	2
11	и то же	1	2
12	социального общения и	2	2
13	с другой стороны	6	2
14	то же слово	1	2
15	того или иного	3	2
16	ничего общего с	1	2
17	не что иное	1	2
18	в том что	15	2
19	в области лингвистики	1	1
20	в одном ряду	1	1
21	с ними и	1	1
22	что в этом	1	1
23	только потому что	6	1
24	этой точки зрения	2	1
25	иметь в виду	1	1
26	а вовсе не	1	1
27	более или менее	3	1
28	на самом деле	2	1
29	такие явления как	1	1
30	на философию и	1	1
31	можно говорить о	1	1
32	в отличие от	1	1
33	между тем как	1	1
34	в этом отношении	5	1
35	в собственном смысле	1	1
36	можно было бы	3	1
37	связи с понятием	1	1
38	с этой точки	1	1
39	постановка вопроса о	1	1
40	для того чтобы	15	1
41	в особенности в	1	1
42	так же как	1	1
43	далеко не всегда	1	1
44	и в его	1	1
45	все равно не	1	1
46	состоит в том	3	1
47	на том основании	1	1
48	что он называет	1	1
49	том что язык	1	1
50	тем не менее	4	1
51	и вместе с	1	1
52	все же есть	1	1
53	в связи с	3	1
54	чуть ли не	2	1
55	само по себе	1	1
56	собственном смысле слова	1	1
57	все то что	1	1
58	потому что они	1	1
59	и может и	1	1
60	в тех случаях	2	1
61	языковых средств в	1	1
62	то же время	2	1
63	том основании что	1	1
64	в языке столь	1	1
65	все же остается	1	1
66	что в ней	1	1
67	та или иная	1	1
68	хотя бы в	4	1
69	те или иные	1	1
70	грамматики и стилистики	1	1
71	на то что	2	1
72	но не менее	1	1
73	тех случаях когда	2	1
74	в то же	2	1
75	эту точку зрения	1	1
76	к тому что	2	1
77	тех или иных	1	1
78	своего времени в	1	1
79	роковую роль в	1	1
