N	3gram	Voloshinov_1	Myshleni
1	в том что	2	17
2	для того чтобы	1	7
3	в отличие от	1	6
4	так же как	1	6
5	с самого начала	2	6
6	в собственном смысле	1	6
7	в зависимости от	2	5
8	можно было бы	1	5
9	с одной стороны	2	5
10	в связи с	1	5
11	тем не менее	1	5
12	состоит в том	1	3
13	в этом отношении	1	3
14	в последнее время	1	3
15	с другой стороны	2	3
16	не мог бы	1	3
17	та или иная	1	3
18	на то что	1	3
19	так же точно	1	3
20	только потому что	1	2
21	этой точки зрения	1	2
22	по отношению к	3	2
23	то что в	1	2
24	на основе такого	1	2
25	включает в себя	1	2
26	не может быть	4	2
27	того или иного	2	2
28	собственном смысле слова	1	2
29	с этой точки	1	2
30	и вместе с	1	2
31	само по себе	1	2
32	зависимости от этого	2	2
33	как и в	1	2
34	же самое слово	1	1
35	в другом месте	1	1
36	том что в	1	1
37	что иное как	2	1
38	что в основе	1	1
39	более или менее	1	1
40	на том основании	1	1
41	подобно тому как	1	1
42	то же самое	1	1
43	вывод к которому	1	1
44	никоим образом не	1	1
45	с точки зрения	5	1
46	распадаются на две	1	1
47	к которому приходит	1	1
48	в человеческом обществе	1	1
49	между тем как	1	1
50	человеческой речи не	1	1
51	ту или иную	1	1
52	а представляет собою	1	1
53	не что иное	2	1
54	в данном случае	2	1
55	все эти три	1	1
56	и в его	1	1
57	мы не сумеем	1	1
58	тот же самый	1	1
59	в связи со	1	1
60	и превращается в	1	1
61	но столь же	1	1
62	есть не что	2	1
63	и как бы	1	1
64	себе а лишь	1	1
65	по себе а	1	1
66	том основании что	1	1
67	но тем не	1	1
68	мы не можем	1	1
69	человека и его	1	1
70	между словами и	1	1
71	ничего общего с	2	1
72	если бы мы	1	1
73	и не является	2	1
74	выходит за пределы	1	1
75	в течение всего	1	1
76	к тому что	1	1
77	в последнем счете	1	1
