N	3gram	Tiupa_Disk_1	Morfolog
1	в этом случае	1	9
2	в связи с	1	8
3	не может быть	3	8
4	подобно тому как	2	5
5	по отношению к	9	4
6	с точки зрения	1	4
7	тем не менее	1	4
8	с другой стороны	3	4
9	как и в	1	3
10	на самом деле	1	3
11	но все же	1	3
12	далеко не все	1	3
13	с одной стороны	9	2
14	в большинстве случаев	1	2
15	тех случаях когда	1	2
16	в том что	13	2
17	состоит в том	2	2
18	более или менее	2	2
19	к чему не	1	2
20	ни к чему	1	2
21	которое может быть	1	2
22	в тех случаях	1	2
23	за тридевять земель	1	1
24	с самого начала	1	1
25	в таком случае	1	1
26	же время и	1	1
27	в то же	3	1
28	в том случае	1	1
29	о том как	1	1
30	что они хотят	1	1
31	можно сказать что	2	1
32	на этом основании	1	1
33	что далеко не	1	1
34	то что они	1	1
35	здесь как и	1	1
36	в противном случае	1	1
37	дело не в	1	1
38	что же касается	2	1
39	во всех этих	1	1
40	сюда же относятся	1	1
41	о том что	5	1
42	том случае если	1	1
43	на русском языке	1	1
44	и то же	1	1
45	том что он	1	1
46	и может быть	1	1
47	под углом зрения	1	1
48	на то что	1	1
49	можно указать на	1	1
50	он не может	1	1
51	далеко не всегда	1	1
52	в целом и	1	1
53	той или иной	3	1
54	то же время	4	1
55	в том или	1	1
56	она могла бы	1	1
57	одновременно с этим	1	1
58	в другом случае	1	1
59	или во всяком	1	1
60	в волшебной сказке	2	1
61	лежат в основе	1	1
62	а не от	1	1
63	к другому что	1	1
64	в научной литературе	1	1
65	один из важнейших	1	1
66	одно и то	1	1
67	во всяком случае	1	1
68	чему не обязывающий	1	1
69	в данном случае	2	1
70	может быть названа	1	1
71	до сих пор	1	1
