N	2gram	Propp_Isto_4	TeoriaLi
1	не только	15	18
2	в качестве	7	17
3	тогда как	4	16
4	и не	9	16
5	а в	8	14
6	и в	26	13
7	в частности	2	13
8	так и	10	12
9	может быть	14	12
10	при этом	3	11
11	в этом	7	11
12	в том	3	11
13	представляет собой	2	11
14	но не	5	10
15	в тексте	2	10
16	и его	10	10
17	а не	6	10
18	то же	8	9
19	в его	5	9
20	своего рода	1	8
21	что в	14	8
22	но и	12	8
23	такого рода	2	8
24	в себе	2	7
25	точки зрения	1	7
26	по своей	2	7
27	как это	3	7
28	в то	1	7
29	во второй	1	7
30	себя в	2	7
31	только в	3	7
32	том что	3	7
33	в данном	3	7
34	еще не	6	6
35	лишь в	2	6
36	но в	5	6
37	в русской	3	6
38	как бы	3	6
39	данном случае	3	5
40	как и	7	5
41	в нем	2	5
42	не в	5	5
43	тем самым	1	5
44	между ними	3	5
45	уже не	5	5
46	он не	7	5
47	не случайно	2	5
48	с другой	4	5
49	однако в	2	5
50	а также	3	5
51	как в	7	5
52	в пределах	1	5
53	мы имеем	7	5
54	в своем	2	5
55	приводит к	1	4
56	не знает	1	4
57	в форме	2	4
58	можно сказать	1	4
59	но он	4	4
60	не менее	2	4
61	в своей	4	4
62	отношение к	2	4
63	хотя и	2	4
64	то что	16	4
65	как правило	1	4
66	на смену	3	4
67	ни в	2	4
68	сказать что	2	4
69	а и	1	4
70	не может	6	4
71	все эти	3	3
72	с ее	1	3
73	не все	1	3
74	к которому	1	3
75	и вот	2	3
76	в другом	5	3
77	или в	3	3
78	прежде всего	1	3
79	таким образом	10	3
80	в этой	2	3
81	как раз	1	3
82	человека с	3	3
83	а только	1	3
84	так в	4	3
85	его в	9	3
86	например в	3	3
87	того что	2	3
88	потому что	6	3
89	в этих	7	3
90	и к	1	3
91	между двумя	12	3
92	мог бы	1	3
93	тем не	2	3
94	в основе	1	3
95	а с	1	3
96	другой стороны	4	3
97	этого слова	2	3
98	именно в	1	3
99	совпадает с	1	3
100	и что	5	3
101	никогда не	2	3
102	он должен	3	3
103	и др	5	3
104	и то	6	3
105	перед нами	3	3
106	ни к	1	3
107	и по	5	3
108	данного текста	1	2
109	образом и	1	2
110	или иных	1	2
111	и здесь	5	2
112	но она	1	2
113	одно и	1	2
114	одной из	1	2
115	что они	6	2
116	и тем	2	2
117	так же	18	2
118	здесь не	4	2
119	человеческой жизни	1	2
120	чем это	1	2
121	вовсе не	4	2
122	к нему	6	2
123	в большинстве	1	2
124	право на	2	2
125	даже в	4	2
126	дело не	2	2
127	во всех	1	2
128	по себе	2	2
129	а на	4	2
130	об этом	7	2
131	иначе говоря	1	2
132	между собой	1	2
133	а именно	3	2
134	вместе с	6	2
135	к жизни	1	2
136	здесь мы	2	2
137	но как	1	2
138	к тому	1	2
139	это не	5	2
140	из которых	5	2
141	имеет в	1	2
142	это и	5	2
143	в целом	2	2
144	к его	1	2
145	не на	3	2
146	в чем	1	2
147	но на	1	2
148	и даже	4	2
149	ногами и	1	2
150	не могло	2	2
151	со стороны	1	2
152	или иначе	1	2
153	у него	5	2
154	могут быть	6	2
155	их в	7	2
156	как к	1	2
157	роль в	1	2
158	не следует	1	2
159	в глаза	1	2
160	о том	4	2
161	о чем	3	2
162	говорит что	2	2
163	могло быть	1	2
164	в сказании	1	2
165	дома и	1	2
166	в области	2	2
167	принадлежит к	1	2
168	на себя	4	2
169	и это	1	2
170	как будто	1	2
171	этих двух	1	2
172	как говорит	1	2
173	в виду	1	2
174	если бы	2	2
175	и как	5	2
176	что он	10	2
177	в роли	2	2
178	что по	1	1
179	между жизнью	1	1
180	одним из	1	1
181	говорят о	1	1
182	не могла	1	1
183	бы они	1	1
184	или иное	1	1
185	когда мы	1	1
186	но с	1	1
187	говорит и	1	1
188	на его	3	1
189	есть в	2	1
190	бы в	1	1
191	таких случаях	2	1
192	пребывания в	1	1
193	вопрос о	4	1
194	из этих	3	1
195	в связи	2	1
196	из которого	1	1
197	многих других	3	1
198	достигается при	1	1
199	жизни и	1	1
200	говорит о	2	1
201	его с	2	1
202	не говорит	2	1
203	героя как	1	1
204	рода и	1	1
205	до смерти	1	1
206	момент в	1	1
207	стороны не	1	1
208	начинается с	2	1
209	не должно	1	1
210	дает ему	4	1
211	и процесс	1	1
212	с той	2	1
213	и является	1	1
214	данной ему	1	1
215	образа и	1	1
216	связи с	3	1
217	и их	2	1
218	большинстве случаев	1	1
219	обращается к	1	1
220	не было	1	1
221	после того	2	1
222	и жизни	1	1
223	может оказаться	1	1
224	выступает не	1	1
225	между ним	1	1
226	друг другу	1	1
227	предстает как	1	1
228	зависит от	1	1
229	однако это	1	1
230	на ее	1	1
231	только при	1	1
232	таким же	6	1
233	одновременно и	1	1
234	на то	3	1
235	своей цели	1	1
236	не по	2	1
237	с появлением	4	1
238	можно в	1	1
239	предметов в	1	1
240	с ним	1	1
241	облекается в	1	1
242	превращается в	7	1
243	с помощью	2	1
244	независимо от	1	1
245	на поле	3	1
246	ним и	1	1
247	что это	2	1
248	не вполне	1	1
249	и другие	3	1
250	так что	2	1
251	или его	1	1
252	или иная	1	1
253	от него	2	1
254	в центре	1	1
255	если в	1	1
256	такого отношения	1	1
257	после его	1	1
258	целый ряд	1	1
259	здесь также	1	1
260	не дает	2	1
261	которых и	1	1
262	в другой	3	1
263	тот же	1	1
264	мир как	1	1
265	труда а	1	1
266	толстым в	1	1
267	и наоборот	2	1
268	в своих	1	1
269	одном случае	3	1
270	с тем	2	1
271	в одном	5	1
272	между этим	1	1
273	которого он	1	1
274	видим в	1	1
275	и становится	1	1
276	до этого	1	1
277	те же	3	1
278	см в	1	1
279	одно из	1	1
280	меня в	1	1
281	данного типа	1	1
282	топором по	1	1
283	и я	1	1
284	собой в	2	1
285	такое же	4	1
286	соответствующих ему	1	1
287	если с	1	1
288	за это	2	1
289	имеются и	1	1
290	я от	1	1
291	и только	5	1
292	за него	1	1
293	его как	2	1
294	иных случаях	1	1
295	путь к	1	1
296	однако что	1	1
297	служить и	1	1
298	или же	3	1
299	вторичное и	1	1
300	духа и	1	1
301	виду не	1	1
302	с этой	2	1
303	еще на	1	1
304	к чему	1	1
305	в таких	2	1
306	особенно в	1	1
307	а затем	3	1
308	к каким	1	1
309	что даже	1	1
310	но если	1	1
311	вступает в	1	1
312	к своему	3	1
313	большей части	1	1
314	жизнь и	1	1
315	очень часто	1	1
316	их не	2	1
317	мастер и	1	1
318	из его	1	1
319	по поводу	1	1
320	ее как	1	1
321	этом случае	3	1
322	в момент	1	1
323	с героем	1	1
324	к миру	1	1
325	две стороны	1	1
326	живет в	2	1
327	говорит ему	1	1
328	на могиле	1	1
329	и на	2	1
330	случае мы	2	1
331	привести к	1	1
332	на свою	1	1
333	на которой	2	1
334	говорилось выше	1	1
335	как мы	5	1
