N	4gram	Berdyaev_M_1	VelikijI
1	бы это ни стоило	1	1
2	легенде о великом инквизиторе	2	1
3	во имя счастья людей	1	1
4	свобода их веры тебе	1	1
5	и есть то что	1	1
6	их веры тебе была	1	1
7	это ни стоило и	1	1
8	чудо должно быть от	1	1
9	чего бы это ни	1	1
10	тебе была дороже всего	1	1
11	и уж конечно не	2	1
12	чтобы свободно пошел он	1	1
13	возжелал свободной любви человека	2	1
14	кто знает может быть	1	1
15	и вместе с тем	4	1
16	свободно пошел он за	1	1
17	говорит великий инквизитор христу	1	1
18	любви человека чтобы свободно	1	1
19	любовь к человеку не	1	1
20	должно быть от веры	1	1
21	веры тебе была дороже	1	1
22	в легенде о великом	2	1
23	свободной любви человека чтобы	1	1
24	человека чтобы свободно пошел	1	1
25	это не было еще	1	1
