N	2gram	Vinokur_St_2	Komedia
1	и в	29	22
2	и не	9	21
3	т е	10	16
4	том что	27	13
5	таким образом	10	12
6	в том	27	12
7	со стороны	2	11
8	так как	2	11
9	потому что	9	10
10	ни в	3	10
11	в комедии	1	10
12	вместе с	7	9
13	сих пор	5	9
14	до сих	6	9
15	в самом	7	9
16	в этом	21	8
17	что и	2	8
18	к ней	1	8
19	его в	2	8
20	если бы	2	8
21	в его	13	8
22	о том	17	8
23	что он	13	8
24	в своем	9	8
25	не по	2	7
26	в конце	2	7
27	об этом	6	7
28	а в	1	7
29	то же	2	7
30	только что	2	7
31	о чем	5	7
32	едва ли	1	7
33	при этом	2	7
34	в свою	1	7
35	как раз	8	6
36	так что	3	6
37	того чтобы	6	6
38	еще не	1	6
39	к тому	10	6
40	для того	7	6
41	и его	6	6
42	в то	2	6
43	свою очередь	1	6
44	того же	2	6
45	тому же	3	6
46	iii в	1	6
47	во время	2	6
48	и что	6	6
49	самом деле	3	6
50	может быть	2	6
51	к этому	4	6
52	же время	1	5
53	прежде всего	5	5
54	связи с	4	5
55	не менее	3	5
56	все это	11	5
57	как это	2	5
58	в своей	7	5
59	что в	19	5
60	отношение к	1	5
61	более чем	1	5
62	хотя и	4	5
63	по отношению	1	5
64	и сам	2	5
65	тем что	3	5
66	а по	1	5
67	он не	9	5
68	но в	8	5
69	речь идет	4	5
70	не только	19	5
71	из них	3	5
72	вовсе не	6	4
73	в себе	2	4
74	и здесь	3	4
75	все же	6	4
76	и с	4	4
77	бы в	1	4
78	в связи	1	4
79	так же	3	4
80	и для	1	4
81	т п	3	4
82	так и	9	4
83	точки зрения	5	4
84	не в	4	4
85	не дает	2	4
86	с тем	7	4
87	но все	7	4
88	ничем не	1	4
89	хотя бы	3	4
90	до нас	1	4
91	и т	9	4
92	здесь нет	1	4
93	но и	19	4
94	на себя	3	4
95	то что	11	4
96	на него	1	4
97	нет и	2	4
98	что к	1	4
99	в отношении	2	4
100	не является	3	4
101	он был	2	4
102	тут же	1	4
103	у него	1	4
104	когда он	1	4
105	до конца	3	4
106	несмотря на	2	4
107	речи о	1	4
108	с другой	4	4
109	меньше всего	3	4
110	с самого	3	4
111	а не	5	4
112	в ней	7	4
113	что она	1	4
114	должен был	4	4
115	и речи	2	4
116	самого начала	3	4
117	около г	1	3
118	и тот	1	3
119	прежде чем	1	3
120	в них	2	3
121	во всяком	3	3
122	говорить о	1	3
123	как и	2	3
124	в которой	11	3
125	одной из	3	3
126	в двух	1	3
127	нисколько не	1	3
128	не может	2	3
129	даже не	1	3
130	на это	2	3
131	себе в	1	3
132	отношению к	1	3
133	как бы	5	3
134	бы он	1	3
135	на то	2	3
136	в какой	2	3
137	в нем	4	3
138	это обстоятельство	1	3
139	к началу	1	3
140	с этой	2	3
141	если не	2	3
142	который в	1	3
143	представляет собой	1	3
144	узнав о	1	3
145	еще больше	1	3
146	в ее	2	3
147	в начале	3	3
148	должно было	3	3
149	не так	1	3
150	но если	1	3
151	никогда не	3	3
152	и даже	3	3
153	с точки	2	3
154	и к	4	3
155	все что	1	3
156	то ни	2	3
157	среди которых	1	3
158	возможно что	1	3
159	как он	2	3
160	в течение	6	3
161	с этим	3	3
162	тем же	2	3
163	со временем	1	3
164	один из	1	3
165	и еще	1	3
166	ничего не	4	3
167	всяком случае	3	3
168	тем не	2	3
169	на них	1	3
170	не о	1	3
171	с полным	1	3
172	по своему	2	3
173	в этой	2	3
174	мы можем	1	3
175	ни малейшего	1	3
176	из того	1	3
177	с его	2	3
178	не зная	1	3
179	столь же	1	3
180	ему не	2	3
181	в частности	4	3
182	не имеет	2	3
183	на этот	2	3
184	конечно не	1	3
185	было бы	5	3
186	одного из	1	3
187	идет о	3	3
188	тех пор	1	3
189	его от	1	2
190	одним из	6	2
191	на его	2	2
192	по сравнению	1	2
