N	3gram	Tiupa_Lite_2	PoTuStor
1	с точки зрения	3	6
2	на самом деле	1	4
3	по крайней мере	2	3
4	не может быть	7	3
5	может быть это	1	3
6	не могут быть	1	2
7	все то что	1	2
8	о том что	2	2
9	в конечном счете	5	2
10	подобно тому как	2	1
11	но даже и	1	1
12	то же самое	1	1
13	бы то ни	1	1
14	в этом отношении	3	1
15	а в конце	1	1
16	можно было бы	1	1
17	а то и	1	1
18	однако в рамках	1	1
19	с этой точки	1	1
20	вместе с тем	1	1
21	быть может наиболее	1	1
22	в данном случае	3	1
23	то ни было	1	1
24	что может быть	1	1
25	с одной стороны	6	1
26	в себя и	1	1
27	а с другой	1	1
28	и т.п наконец	1	1
29	имеем дело с	1	1
30	и только здесь	1	1
31	в свое время	2	1
32	в том что	5	1
33	этой точки зрения	1	1
34	вместе с ним	1	1
35	самом деле есть	1	1
36	мы не можем	1	1
37	из того же	1	1
38	еще в году	2	1
39	и даже более	1	1
40	и прежде всего	1	1
41	та сила которая	1	1
42	быть не может	1	1
43	для того чтобы	1	1
44	той или иной	1	1
