N	3gram	Tiupa_Lite_2	OGranits
1	с точки зрения	3	5
2	не может быть	7	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	по отношению к	3	3
6	одно и то	2	3
7	и наконец в	1	2
8	полном соответствии с	1	2
9	в данном случае	3	2
10	в полном соответствии	1	2
11	с одной стороны	6	2
12	и то же	2	2
13	с другой стороны	4	2
14	ничего общего с	1	2
15	в том что	5	2
16	и не является	1	2
17	том что в	1	1
18	этой точки зрения	1	1
19	в хх веке	4	1
20	на самом деле	1	1
21	подобно тому как	2	1
22	то же самое	1	1
23	и не может	1	1
24	во всей своей	1	1
25	в отличие от	1	1
26	нет и не	1	1
27	только то что	1	1
28	в этом отношении	3	1
29	и т.д и	1	1
30	можно было бы	1	1
31	ни одно слово	1	1
32	с этой точки	1	1
33	что едва ли	1	1
34	для того чтобы	1	1
35	состоит в том	4	1
36	тем не менее	2	1
37	но и его	1	1
38	прежде всего в	1	1
39	это и не	1	1
40	в области поэтики	1	1
41	того же автора	1	1
42	все то что	1	1
43	не мог бы	1	1
44	то же время	9	1
45	мы не можем	1	1
46	может быть это	1	1
47	что в ней	1	1
48	впервые в истории	1	1
49	одно слово не	1	1
50	в конечном счете	5	1
51	в то же	9	1
52	к тому что	1	1
53	не знает категории	1	1
54	тех или иных	1	1
55	всей своей полноте	1	1
