N	3gram	Vinokur_St_2	Psycholo
1	в том что	16	17
2	для того чтобы	5	13
3	в самом деле	2	11
4	с точки зрения	2	10
5	заключается в том	1	10
6	и т п	3	8
7	на то что	2	6
8	на самом деле	1	5
9	до сих пор	5	5
10	в этом отношении	9	5
11	сам по себе	1	4
12	в сущности говоря	1	4
13	так же как	3	4
14	в данном случае	1	4
15	тем не менее	2	4
16	о том что	11	4
17	том что она	1	3
18	том что он	5	3
19	сами по себе	2	3
20	с тем что	2	3
21	точно так же	1	3
22	в том чтобы	1	3
23	в конце концов	1	3
24	в то время	1	3
25	в отношении к	1	3
26	том что в	2	2
27	он не может	1	2
28	что он не	4	2
29	на этот вопрос	1	2
30	не в том	2	2
31	по сравнению с	1	2
32	столько же сколько	1	2
33	одни и те	1	2
34	бы то ни	2	2
35	во всяком случае	3	2
36	и в том	1	2
37	того чтобы показать	1	2
38	ни в каком	1	2
39	таким образом в	1	2
40	то же время	1	2
41	в свою очередь	1	2
42	и те же	1	2
43	с другой стороны	3	2
44	в то же	1	2
45	к тому что	5	2
46	только потому что	2	2
47	и т д	6	2
48	а между тем	1	1
49	же как в	1	1
50	таким путем в	1	1
51	в чем же	1	1
52	в этом смысле	1	1
53	он не только	1	1
54	в этом случае	1	1
55	что же касается	1	1
56	и в полном	2	1
57	и как он	1	1
58	как и другие	1	1
59	принять во внимание	2	1
60	идет не о	1	1
61	между тем в	1	1
62	в зависимости от	1	1
63	в отличие от	2	1
64	не имеет никакого	1	1
65	но он не	1	1
66	за то что	2	1
67	следующее место из	1	1
68	его отношений к	1	1
69	тому же поводу	1	1
70	в наши дни	1	1
71	вместе с тем	5	1
72	не то что	1	1
73	он никогда не	1	1
74	одно и то	1	1
75	речь идет не	1	1
76	то ни было	2	1
77	во внимание что	1	1
78	и что он	1	1
79	должна была бы	1	1
80	и то же	1	1
81	основное значение в	1	1
82	принадлежат к числу	1	1
83	целый ряд новых	1	1
84	к которому относится	1	1
85	что он сам	1	1
86	в связи с	1	1
87	но именно в	1	1
88	что он просто	1	1
89	тем что в	1	1
90	вместо того чтобы	1	1
91	в свое время	1	1
92	это похоже на	1	1
93	более или менее	2	1
94	который говорил что	1	1
95	и не до	1	1
96	то обстоятельство что	4	1
97	том смысле что	1	1
98	виде как она	1	1
99	орудием в руках	1	1
100	на этом основании	1	1
101	и характер его	1	1
102	ничего общего с	1	1
103	и вообще не	1	1
104	и что следовательно	1	1
105	с того что	1	1
106	к выводу что	1	1
107	с самого начала	3	1
108	не только не	2	1
109	нужно сказать что	1	1
110	что у пушкина	1	1
111	т п в	1	1
112	что оба эти	2	1
113	при помощи этой	1	1
114	после того как	4	1
115	все это имеет	1	1
116	по этому поводу	2	1
117	в том смысле	2	1
118	вне всякого сомнения	2	1
119	не имеет ничего	1	1
120	в высшей степени	1	1
121	о бахчисарайском фонтане	1	1
122	тот факт что	4	1
