N	2gram	Medvedev_U_1	Marksizm
1	может быть	6	26
2	и не	8	26
3	не может	7	24
4	и в	14	19
5	таким образом	2	17
6	в этом	7	16
7	в процессе	1	14
8	прежде всего	8	13
9	как и	3	12
10	так и	1	11
11	и для	2	11
12	самом деле	2	10
13	в нем	1	10
14	ни было	3	10
15	в самом	2	10
16	только в	2	9
17	для него	3	9
18	бы то	3	8
19	все же	3	8
20	не только	10	8
21	то ни	3	8
22	до сих	2	8
23	но и	4	8
24	сих пор	2	8
25	то что	7	8
26	но в	3	7
27	то же	5	7
28	науки об	1	7
29	психики и	1	7
30	а не	10	7
31	отнюдь не	1	6
32	мы не	2	6
33	ничего не	2	6
34	в пределах	1	6
35	в его	2	6
36	в том	2	6
37	другой стороны	3	6
38	конечно не	4	5
39	входит в	1	5
40	не в	2	5
41	и все	1	5
42	в конце	2	5
43	с другой	4	5
44	за пределы	1	5
45	до конца	1	5
46	и потому	1	5
47	хотя бы	5	5
48	к этому	1	5
49	нет и	1	4
50	было бы	3	4
51	не столько	2	4
52	по себе	2	4
53	в ней	1	4
54	для второго	1	4
55	язык в	1	4
56	слово как	1	4
57	далеко не	1	4
58	в данном	1	4
59	что же	1	4
60	вне его	1	4
61	тот же	1	4
62	и эта	1	4
63	сказать что	1	4
64	что в	1	4
65	формы и	2	3
66	он может	1	3
67	а как	2	3
68	имеет свою	1	3
69	в которой	1	3
70	этот процесс	1	3
71	но именно	1	3
72	он не	1	3
73	том что	2	3
74	в своей	3	3
75	в котором	1	3
76	является в	2	3
77	речи в	1	3
78	в то	3	3
79	же время	3	3
80	этом отношении	2	3
81	в области	3	3
82	не могут	2	3
83	же самое	2	3
84	не есть	2	3
85	и это	1	3
86	не существует	1	3
87	только при	1	3
88	сводится к	2	3
89	можно сказать	1	3
90	конце концов	2	3
91	того что	1	3
92	и действительно	1	3
93	между тем	2	3
94	не было	1	3
95	все это	5	3
96	смысле этого	2	3
97	для первого	1	3
98	и формы	3	3
99	этом случае	1	3
100	одним из	2	2
101	же как	1	2
102	той же	1	2
103	не приходится	2	2
104	содержания в	1	2
105	первый план	1	2
106	быть в	1	2
107	не все	2	2
108	в своем	1	2
109	бы и	2	2
110	формы в	3	2
111	в себе	2	2
112	должна быть	2	2
113	не как	3	2
114	что все	2	2
115	и с	2	2
116	бы в	1	2
117	этом смысле	2	2
118	должно быть	1	2
119	на первый	2	2
120	что такое	4	2
121	и является	2	2
122	у нас	3	2
123	могут быть	2	2
124	является одним	1	2
125	она не	1	2
126	в виду	1	2
127	никогда не	1	2
128	если бы	2	2
129	и даже	1	2
130	и т.д	3	2
131	о том	1	2
132	все в	1	2
133	что и	2	2
134	говорит он	1	2
135	и только	5	2
136	что он	2	2
137	в качестве	1	2
138	и др	1	2
139	мы можем	1	2
140	как раз	2	2
141	тем что	2	2
142	или иначе	1	2
143	и прежде	1	2
144	слово является	1	2
145	при более	1	2
146	и вне	1	2
147	в частности	3	2
148	и стилистики	1	2
149	независимо от	1	2
150	из которых	1	2
151	для всех	2	2
152	к проблеме	1	2
153	но для	1	2
154	этого материала	1	2
155	но если	1	2
156	в таком	1	2
157	а между	2	1
158	таковы в	1	1
159	и то	3	1
160	мировоззрения и	1	1
161	свое место	1	1
162	она все	1	1
163	и индивидуального	1	1
164	является наиболее	1	1
165	наиболее подходящим	1	1
166	группы и	1	1
167	в широком	2	1
168	в различных	1	1
169	с его	2	1
170	не без	1	1
171	но конечно	2	1
172	ее к	1	1
173	отказ от	1	1
174	не входит	1	1
175	из природы	1	1
176	относится к	1	1
177	его на	1	1
178	могли бы	2	1
179	более или	1	1
180	самим же	1	1
181	искусство и	1	1
182	так или	1	1
183	в этой	4	1
184	в известном	1	1
185	бы только	1	1
186	направлено на	1	1
187	широком смысле	1	1
188	не следует	3	1
189	большей или	1	1
190	поскольку он	1	1
191	перестает быть	5	1
192	всех этих	2	1
193	не значит	1	1
194	в россии	4	1
195	их в	1	1
196	у пушкина	1	1
197	поставить знак	1	1
198	ли для	1	1
199	же не	2	1
200	это не	3	1
