N	3gram	Tiupa_Disk_2	Myshleni
1	в том что	6	17
2	в отличие от	12	6
3	с самого начала	1	6
4	с одной стороны	4	5
5	тем не менее	1	5
6	и того же	2	4
7	во всяком случае	1	4
8	одного и того	2	4
9	о том что	3	3
10	состоит в том	2	3
11	в этом отношении	4	3
12	а с другой	1	3
13	с другой стороны	1	3
14	та или иная	1	3
15	говорит об этом	1	2
16	и той же	1	2
17	по отношению к	4	2
18	то что в	1	2
19	того и другого	1	2
20	заключает в себе	2	2
21	и то что	2	2
22	не приводит к	1	2
23	включает в себя	1	2
24	не может быть	3	2
25	того или иного	1	2
26	так и в	3	2
27	той или иной	3	2
28	одной и той	1	2
29	как и в	5	2
30	в другом месте	1	1
31	по своей природе	1	1
32	том что в	1	1
33	не в состоянии	1	1
34	и том же	1	1
35	самых общих чертах	1	1
36	в самых общих	1	1
37	прежде всего следует	1	1
38	подобно тому как	2	1
39	в том числе	1	1
40	в этом случае	2	1
41	с точки зрения	2	1
42	бы то ни	1	1
43	имеем дело не	1	1
44	между тем как	1	1
45	по аналогии с	1	1
46	том числе и	1	1
47	в этот период	1	1
48	одном и том	1	1
49	основания предполагать что	1	1
50	и другого в	1	1
51	отнюдь не является	1	1
52	в применении к	1	1
53	в данном случае	6	1
54	то ни было	1	1
55	не сводится к	2	1
56	на некоторое время	1	1
57	в значительной степени	1	1
58	совпадают с теми	1	1
59	не могут быть	1	1
60	с теми же	1	1
61	решающую роль в	1	1
62	и как бы	2	1
63	может не иметь	1	1
64	в переходе от	1	1
65	в этом заключается	1	1
66	двух точек зрения	1	1
67	друг от друга	1	1
68	но все эти	1	1
69	одно из главных	1	1
70	с той или	1	1
71	здесь как и	1	1
72	связи и отношения	1	1
