N	2gram	Nazirov_Tr_1	Mirosoze
1	у достоевского	5	42
2	может быть	7	30
3	не только	8	29
4	и в	18	28
5	не может	5	28
6	но и	4	25
7	а не	1	25
8	он не	2	24
9	в этом	9	20
10	не было	1	18
11	у него	6	17
12	не в	2	16
13	потому что	2	16
14	в ней	1	15
15	в своей	1	15
16	человека и	1	14
17	и есть	1	14
18	он был	2	14
19	никогда не	2	14
20	до конца	2	14
21	в нем	4	13
22	и он	3	12
23	и достоевский	1	12
24	и это	2	12
25	в самом	2	11
26	для него	3	11
27	и не	7	11
28	из подполья	1	10
29	в своем	3	10
30	человек не	1	10
31	достоевского и	1	10
32	что в	4	10
33	в мире	3	10
34	прежде всего	4	10
35	что он	6	10
36	и потому	1	10
37	и все	4	10
38	достоевского в	3	9
39	с тем	2	9
40	но он	1	9
41	и его	6	9
42	не есть	1	9
43	в его	3	9
44	из самых	2	8
45	в котором	1	8
46	иван карамазов	1	8
47	но не	1	8
48	в человеке	1	8
49	ивана карамазова	2	7
50	не был	2	7
51	но в	6	7
52	в себе	4	7
53	быть может	1	7
54	в конце	3	7
55	в самой	1	7
56	к нему	3	7
57	того что	1	7
58	должна быть	1	6
59	и на	7	6
60	он сам	7	6
61	в которой	1	6
62	лишь в	1	6
63	в этой	4	6
64	ведет к	1	6
65	достоевский не	4	6
66	все в	1	6
67	только в	1	6
68	вместе с	1	6
69	все это	4	6
70	в том	2	6
71	если он	1	5
72	от нее	1	5
73	это не	5	5
74	в самую	2	5
75	как и	5	5
76	достоевский в	7	5
77	не могут	2	5
78	достоевского к	1	5
79	добра и	1	5
80	то что	4	5
81	и я	2	5
82	русской литературы	2	5
83	для достоевского	2	5
84	это и	1	4
85	xix века	1	4
86	отношение к	2	4
87	за пределы	1	4
88	достоевского не	1	4
89	что достоевский	4	4
90	зла в	2	4
91	веру в	2	4
92	чем у	1	4
93	не к	1	4
94	не как	1	4
95	и по	1	4
96	против бога	1	4
97	в них	1	4
98	до самой	1	4
99	к ней	1	4
100	она не	1	4
101	достоевского все	1	4
102	мог бы	3	4
103	что и	2	4
104	один из	3	4
105	человеческой личности	2	4
106	уже не	2	4
107	уже в	3	4
108	тем что	2	4
109	и вместе	1	4
110	нет в	2	4
111	всю жизнь	1	4
112	не знал	1	4
113	с этой	1	4
114	от него	1	4
115	вряд ли	2	3
116	добро и	1	3
117	и мира	1	3
118	с его	2	3
119	бы и	2	3
120	в братьях	1	3
121	идей и	1	3
122	и еще	1	3
123	и вот	1	3
124	на этом	1	3
125	и с	7	3
126	то есть	3	3
127	его в	2	3
128	достоевский и	1	3
129	не мог	2	3
130	достоевского но	1	3
131	том что	4	3
132	но если	1	3
133	не имеет	2	3
134	на путях	1	3
135	ничего не	2	3
136	в момент	1	3
137	к тому	2	3
138	сам достоевский	3	3
139	в ее	2	3
140	с собой	1	3
141	толстой и	1	3
142	в муках	1	3
143	с судьбой	1	3
144	это очень	5	3
145	одно из	1	3
146	не так	2	3
147	и их	1	3
148	братьях карамазовых	1	3
149	пафос его	1	3
150	я хочу	1	3
151	о себе	1	3
152	ко всем	1	3
153	должно быть	3	3
154	для нас	1	3
155	хотя бы	1	3
156	в иной	1	3
157	от природы	1	3
158	есть и	1	3
159	одним из	1	2
160	чтобы не	1	2
161	человеке о	1	2
162	проникает в	1	2
163	высшей степени	1	2
164	века в	1	2
165	а как	2	2
166	вопрос о	2	2
167	в виду	1	2
168	литературы и	1	2
169	или от	1	2
170	в преступлении	2	2
171	в истории	1	2
172	т е	1	2
173	в центре	1	2
174	как в	3	2
175	все же	5	2
176	и как	3	2
177	идеи но	1	2
178	чего же	1	2
179	он в	1	2
180	все эти	3	2
181	бы не	1	2
182	только один	1	2
183	вообще не	1	2
184	как он	1	2
185	не значит	1	2
186	страдания и	1	2
187	в россии	1	2
188	мира сего	1	2
189	которым все	1	2
190	все герои	1	2
191	в гюго	1	2
192	и жизнь	1	2
193	открывается в	1	2
194	возвращается к	1	2
195	любовь к	1	2
196	что христос	1	2
197	на земле	1	2
198	в то	5	2
199	нашей эпохи	1	2
200	того чтобы	1	2
201	по своей	1	2
202	достоевским в	2	2
203	могут быть	1	2
204	его с	1	2
205	и от	1	2
206	и что	4	2
207	еще в	2	2
208	по сравнению	1	2
209	с ним	3	2
210	о нем	1	2
211	о том	2	2
212	с того	1	2
213	раскольникова и	1	2
214	и она	1	2
215	о своих	1	2
216	мы видим	1	2
217	человека с	1	2
218	никто не	3	2
219	как будто	3	2
220	в высшей	1	2
221	на этот	1	2
222	его как	1	2
223	о чем	3	2
224	он и	2	2
225	в той	1	2
226	как бы	7	2
227	в бесах	9	2
228	быть не	1	2
229	устремлен к	2	2
230	в бога	1	2
231	всего что	1	2
232	бы в	1	2
233	конце концов	1	2
234	что без	1	2
235	жизни в	1	2
236	эти слова	1	2
237	к этой	1	2
238	эта новая	1	1
239	я и	1	1
240	только он	1	1
241	ту же	1	1
242	также что	1	1
243	и т	1	1
244	достоевский но	1	1
245	от самой	1	1
246	и то	2	1
247	и до	2	1
248	жизни ее	1	1
249	она все	2	1
250	имя его	1	1
251	петра верховенского	17	1
252	– ставрогин	1	1
253	не вполне	1	1
254	я не	4	1
255	ему в	1	1
256	не способен	1	1
257	еще не	4	1
258	себя а	1	1
