N	2gram	Voloshinov_1	Analitik
1	не только	1	22
2	и в	3	18
3	но и	1	13
4	и не	1	12
5	может быть	1	9
6	а не	1	9
7	в его	1	7
8	во второй	1	7
9	к тому	1	6
10	для него	1	6
11	художественного целого	1	6
12	и на	1	4
13	не менее	1	4
14	если в	2	3
15	из этих	1	3
16	то же	1	3
17	в каждом	1	3
18	точки зрения	1	3
19	в то	1	3
20	же время	1	3
21	в особенности	1	3
22	в ней	1	2
23	несмотря на	1	2
24	с точки	1	2
25	сравнении с	1	2
26	на примере	1	2
27	один из	2	2
28	не может	4	2
29	и все	1	2
30	произведения но	1	1
31	категорий и	1	1
32	при анализе	1	1
33	и взаимное	1	1
34	без учета	1	1
35	в иную	1	1
36	с другими	1	1
37	бы на	1	1
38	с теми	1	1
39	связи с	1	1
40	если бы	1	1
41	и должно	1	1
42	этой проблемы	1	1
43	может и	1	1
44	бы в	1	1
