N	2gram	Bakhtin_KF_1	Hudozhes
1	в мире	6	23
2	в качестве	2	19
3	то есть	1	18
4	и не	26	16
5	не только	5	15
6	и в	24	15
7	в том	6	15
8	может быть	45	13
9	при этом	4	12
10	и его	17	12
11	а в	4	12
12	но не	12	11
13	в этом	14	11
14	в себе	21	11
15	я в	1	11
16	то же	5	10
17	по отношению	26	10
18	как бы	9	10
19	так и	2	10
20	а не	17	10
21	отношению к	22	10
22	но и	9	10
23	точки зрения	12	9
24	в его	40	9
25	сводится к	2	8
26	себя в	8	8
27	бытия я	1	8
28	в душе	1	8
29	я и	2	7
30	но в	5	7
31	в принципе	2	7
32	в то	3	7
33	или иной	2	7
34	в искусстве	1	7
35	с его	1	6
36	отношение к	5	6
37	том что	4	6
38	не в	12	6
39	в основе	5	6
40	же время	2	6
41	по своей	1	6
42	в ее	16	6
43	приводит к	1	6
44	не может	27	6
45	что в	4	6
46	в их	8	5
47	эстетическая деятельность	1	5
48	в самом	1	5
49	то что	7	5
50	ни в	12	5
51	художественного творчества	1	5
52	я есть	1	5
53	тем самым	4	5
54	могут быть	3	5
55	той или	3	5
56	с ее	2	5
57	картина мира	1	5
58	можно сказать	1	5
59	того что	3	5
60	только в	16	5
61	уже не	7	5
62	и т.п	1	5
63	между ними	1	5
64	я с	1	5
65	в нем	28	5
66	отношения к	1	4
67	и то	2	4
68	мы имеем	5	4
69	место в	5	4
70	говорить о	2	4
71	жизни как	5	4
72	данности бытия	1	4
73	еще не	4	4
74	а только	1	4
75	как к	2	4
76	хотя и	1	4
77	сознания в	2	4
78	и как	2	4
79	он не	6	4
80	в другом	3	4
81	и тем	3	4
82	в этих	1	4
83	в своей	10	4
84	лирический герой	1	4
85	и т.д	2	4
86	входит в	3	4
87	между тем	4	4
88	для него	8	4
89	со стороны	7	4
90	прежде всего	2	4
91	не знает	5	4
92	как это	1	4
93	к тому	1	4
94	того же	1	3
95	и ее	2	3
96	в целом	10	3
97	в виду	3	3
98	конечном счете	1	3
99	субъекта и	1	3
100	в акте	3	3
101	и к	1	3
102	или иного	3	3
103	в которой	1	3
104	не следует	1	3
105	он должен	1	3
106	лишь в	8	3
107	его в	5	3
108	это не	10	3
109	этом смысле	3	3
110	в единое	2	3
111	как и	5	3
112	одного и	1	3
113	с точки	9	3
114	но он	1	3
115	тем не	2	3
116	их в	1	3
117	в отношении	1	3
118	не менее	3	3
119	как раз	1	3
120	потому что	2	3
121	ценностного центра	4	3
122	имеет место	1	3
123	не будет	2	3
124	мог бы	1	3
125	к его	1	3
126	если бы	8	3
127	того или	3	3
128	в конечном	1	3
129	что он	2	3
130	к нему	12	3
131	во втором	1	3
132	во всей	4	3
133	его эстетической	1	3
134	и того	2	3
135	или иным	2	3
136	к содержанию	2	3
137	в области	2	3
138	эстетического созерцания	5	3
139	человеческой жизни	1	3
140	была бы	1	3
141	эстетического субъекта	1	3
142	по своему	3	3
143	в данном	2	3
144	и для	9	3
145	в свою	3	3
146	и это	12	2
147	это и	2	2
148	противном случае	1	2
149	я как	1	2
150	совпадает с	1	2
151	я не	6	2
152	во мне	3	2
153	и на	3	2
154	причастности к	1	2
155	в чем	4	2
156	но как	5	2
157	свою жизнь	2	2
158	данный момент	3	2
159	в своем	16	2
160	в противном	1	2
161	в себя	7	2
162	образом и	1	2
163	все эти	10	2
164	в нашем	1	2
165	бы не	3	2
166	всей своей	2	2
167	в этой	2	2
168	всей его	2	2
169	вследствие этого	2	2
170	не как	4	2
171	этом мире	2	2
172	на этом	1	2
173	ни был	2	2
174	значительной степени	1	2
175	могла бы	4	2
176	об этом	1	2
177	времени и	4	2
178	полноте и	1	2
179	по себе	2	2
180	другим и	1	2
181	несмотря на	1	2
182	жизни но	3	2
183	даль и	1	2
184	от себя	10	2
185	к такой	1	2
186	вовсе не	7	2
187	тому что	2	2
188	дело не	2	2
189	одна из	1	2
190	не могло	1	2
191	вытекает из	2	2
192	не является	1	2
193	оно не	2	2
194	для себя	5	2
195	и о	1	2
196	того чтобы	2	2
197	заданности и	1	2
198	свою очередь	1	2
199	здесь не	3	2
200	тем или	1	2
201	что может	1	2
202	или в	1	2
203	с человеком	3	2
204	о том	3	2
205	к действительности	1	2
206	основе своей	2	2
207	в значительной	1	2
208	именно в	5	2
209	а именно	1	2
210	в литературе	1	2
211	ни к	2	2
212	мире и	1	2
213	эстетической деятельности	1	2
214	и др	1	2
215	одно из	1	2
216	никто не	1	2
217	слова в	2	2
218	в одном	4	2
219	для меня	20	2
220	автора как	2	2
221	для того	3	2
222	на почве	1	2
223	в данный	3	2
224	а с	2	2
225	себя и	2	2
226	нового времени	1	2
227	превращается в	1	2
228	мир все	1	2
229	и эстетической	1	2
230	мира в	6	2
231	и потому	2	2
232	как в	2	2
233	из которых	2	2
234	к бытию	1	2
235	было и	2	2
236	и по	1	2
237	жизни в	5	2
238	в контексте	5	2
239	при условии	2	2
240	о его	1	2
241	во всех	11	2
242	мира и	4	2
243	совершенно иной	1	2
244	видения мира	1	2
245	с ним	5	2
246	отношении к	2	2
247	одной из	1	2
248	в иной	1	2
249	культуры в	1	2
250	ответственного за	1	1
251	единицы и	1	1
252	говоря о	1	1
253	также и	1	1
254	чтобы не	2	1
255	бы для	1	1
256	ты и	1	1
257	и есть	9	1
258	этого мира	3	1
259	чего не	2	1
260	от своей	5	1
261	мире можно	1	1
262	можно говорить	1	1
263	эмоционально-волевого тона	1	1
264	из его	3	1
265	ее мышления	1	1
266	едва ли	2	1
267	действительности и	1	1
268	мышления но	1	1
269	в зависимости	1	1
270	той же	1	1
271	ее действительного	1	1
272	и себя	1	1
273	смысле можно	1	1
274	содержания в	1	1
275	акта в	2	1
276	время от	1	1
277	и абсолютная	1	1
278	не была	1	1
279	ориентирована на	1	1
280	а для	2	1
281	вся система	1	1
282	как я	1	1
283	в составе	2	1
284	никогда не	5	1
285	своему смыслу	1	1
286	зависимости от	1	1
287	так называемые	1	1
288	своей причастности	1	1
289	не субъективно	1	1
290	момент в	7	1
291	не от	1	1
292	освобождения от	1	1
293	себя а	4	1
294	столь же	1	1
295	позицию по	1	1
296	бы то	2	1
297	в различных	1	1
298	и мира	1	1
299	события в	3	1
300	связи между	1	1
301	тем как	3	1
302	нет не	1	1
303	высшей ценностью	1	1
304	с собою	1	1
305	себе и	3	1
306	и будет	1	1
307	или иное	2	1
308	на основе	7	1
309	отнюдь не	6	1
310	и я	5	1
311	в истории	1	1
312	это мир	2	1
313	более чем	1	1
314	его я	1	1
315	ценностный центр	2	1
316	такова же	1	1
317	чего нет	1	1
318	бытию и	1	1
319	тем же	1	1
320	и свою	1	1
321	и автора	1	1
322	от этого	2	1
323	или иную	1	1
