N	3gram	Tiupa_Disk_2	Formalny
1	не может быть	3	10
2	с точки зрения	2	7
3	в этом отношении	4	7
4	в самом деле	1	5
5	то же время	5	5
6	в то же	4	5
7	во всяком случае	1	5
8	не могут быть	1	4
9	того или иного	1	4
10	и не может	2	3
11	и в то	1	3
12	в большинстве случаев	1	3
13	в значительной степени	1	3
14	не в том	1	3
15	с другой стороны	1	3
16	до известной степени	1	3
17	так и в	3	3
18	прежде всего в	1	2
19	в отличие от	12	2
20	в применении к	1	2
21	ни в чем	1	2
22	с самого начала	1	2
23	но в этом	1	2
24	и прежде всего	2	2
25	в том что	6	2
26	заключали в себе	1	1
27	в ранний период	2	1
28	дистанции между ними	1	1
29	что же касается	2	1
30	прежде всего на	1	1
31	равно как и	1	1
32	не говоря уже	1	1
33	к другому в	1	1
34	же время и	1	1
35	в этом случае	2	1
36	и там где	1	1
37	с одной стороны	4	1
38	говоря уже о	1	1
39	при этом не	1	1
40	значение не только	1	1
41	можно говорить о	1	1
42	в той мере	1	1
43	в этот период	1	1
44	по крайней мере	1	1
45	именно в этом	1	1
46	не совпадает с	1	1
47	в данном случае	6	1
48	тем что он	1	1
49	все дело в	1	1
50	но при этом	2	1
51	и должно было	1	1
52	в такой же	1	1
53	а не как	1	1
54	самого рассказа как	1	1
55	бы то ни	1	1
56	мере в какой	1	1
57	изображения и выражения	1	1
58	только то что	1	1
59	только в качестве	1	1
60	в общих чертах	1	1
61	при этом слово	1	1
62	но все эти	1	1
63	и в пределе	1	1
64	по аналогии с	1	1
65	относятся не к	1	1
66	тем не менее	1	1
67	той мере в	1	1
68	как и в	5	1
69	в чем не	1	1
