N	3gram	Nazirov_Tv_2	RusskieA
1	в том что	2	15
2	и т д	11	9
3	в этот день	1	8
4	том что в	1	6
5	в связи с	1	4
6	о том что	2	4
7	мы не можем	1	3
8	но это не	1	2
9	и потому что	1	2
10	все же не	2	2
11	это не значит	1	2
12	в свою очередь	1	2
13	том что этот	1	2
14	не значит что	1	2
15	хотя и не	1	1
16	только потому что	1	1
17	в виду что	1	1
18	по отношению к	3	1
19	точно так же	1	1
20	приводит его к	1	1
21	т д и	1	1
22	там же с	9	1
23	может быть назван	1	1
24	же как и	1	1
25	в таком случае	2	1
26	но и потому	1	1
27	и в дальнейшем	1	1
28	и т п	2	1
29	можно было бы	1	1
30	на этот вопрос	2	1
31	так что они	1	1
32	как будто бы	1	1
33	в отличие от	2	1
34	и в этом	1	1
35	о том чтобы	1	1
36	не только для	1	1
37	это все же	1	1
38	к жизни то	1	1
39	сохранилась и в	1	1
40	во всяком случае	2	1
41	в целом ряде	1	1
42	так же как	2	1
43	и в том	1	1
44	так например в	1	1
45	не означает что	1	1
46	в то время	1	1
47	о характере этого	1	1
48	не только потому	1	1
49	ничего общего с	1	1
50	в одном из	2	1
51	на другой день	1	1
52	у себя на	1	1
53	как и в	1	1
54	потому что они	1	1
