N	3gram	Propp_Russ_1	formyVre
1	как мы уже	1	8
2	и т п	1	8
3	и того же	1	5
4	одного и того	1	5
5	в связи с	4	5
6	и в других	4	4
7	по отношению к	1	3
8	в этом отношении	1	3
9	в то время	1	3
10	но все же	2	2
11	как мы видим	1	2
12	же как и	1	2
13	и все другие	1	2
14	с точки зрения	3	2
15	и не только	1	2
16	в отличие от	1	2
17	наряду с этим	1	2
18	на другой день	1	2
19	вместе с тем	6	2
20	так же как	1	2
21	не только в	1	2
22	может быть и	2	2
23	друг к другу	2	2
24	в том что	15	2
25	как и в	1	2
26	а следовательно и	1	1
27	по этому вопросу	1	1
28	том что в	6	1
29	одном и том	1	1
30	в виду что	1	1
31	их не знают	1	1
32	тех случаях когда	1	1
33	как мы увидим	5	1
34	и в дальнейшем	1	1
35	в себе и	1	1
36	с тем что	1	1
37	с тем и	2	1
38	у него нет	1	1
39	это не имеет	1	1
40	говорит о том	1	1
41	так как он	1	1
42	в это время	2	1
43	в одном и	1	1
44	в тех случаях	1	1
45	в данном случае	1	1
46	в особенности же	1	1
47	и том же	1	1
48	с этим в	1	1
49	в этот день	8	1
50	и в этом	1	1
51	приходит к выводу	1	1
52	и как бы	1	1
53	но вместе с	1	1
54	кроме того в	1	1
55	могут быть использованы	2	1
56	во всяком случае	1	1
57	были связаны с	1	1
58	и в том	1	1
59	бросается в глаза	1	1
60	во всех этих	1	1
61	том же месте	1	1
62	в свою очередь	2	1
63	в этом ряду	1	1
64	в этом случае	5	1
65	о том что	4	1
66	но и на	2	1
67	к выводу что	2	1
68	не только на	2	1
69	не имеет существенного	1	1
70	смерти и воскресения	1	1
71	еще и в	1	1
72	так как по	1	1
73	имеет существенного значения	1	1
74	друг с другом	1	1
75	дело не только	1	1
76	мы уже знаем	1	1
77	для нас не	1	1
78	и у нас	2	1
79	один из самых	1	1
