N	3gram	Vygotskiy__2	RusskieA
1	в том что	21	15
2	состоит в том	3	8
3	том что в	2	6
4	в связи с	6	4
5	о том что	4	4
6	с точки зрения	18	3
7	мы не можем	3	3
8	что в этом	1	2
9	мы не будем	1	2
10	и потому что	1	2
11	друг к другу	1	2
12	к выводу что	1	2
13	после того как	1	2
14	по этому поводу	3	2
15	рассказывает об этом	1	1
16	потому что он	2	1
17	что в истории	1	1
18	представление о причине	1	1
19	с таким же	2	1
20	по этому вопросу	1	1
21	видеть в этом	1	1
22	иметь в виду	1	1
23	ниже при рассмотрении	1	1
24	по отношению к	5	1
25	точно так же	1	1
26	на самом деле	2	1
27	подобно тому как	2	1
28	мы должны будем	2	1
29	в первые годы	2	1
30	как это ни	1	1
31	наряду с этим	1	1
32	что здесь на	1	1
33	на самом же	1	1
34	в этом отношении	3	1
35	а в связи	1	1
36	в собственном смысле	3	1
37	можно было бы	5	1
38	на этот вопрос	5	1
39	так как он	1	1
40	и в своем	2	1
41	что в первый	1	1
42	не потому что	2	1
43	из них состоит	1	1
44	в нашей стране	1	1
45	них состоит в	1	1
46	в отличие от	3	1
47	сомнений в том	1	1
48	приходит к выводу	1	1
49	которые можно было	1	1
50	приводит к тому	1	1
51	это все же	1	1
52	но вместе с	1	1
53	для нас особенно	1	1
54	во всяком случае	6	1
55	необходимо иметь в	1	1
56	так же как	1	1
57	самом же деле	1	1
58	существует независимо от	1	1
59	установить что в	1	1
60	это ни странно	1	1
61	выступают в роли	1	1
62	ничего общего с	1	1
63	с тем что	1	1
64	легко заметить что	2	1
65	вопрос о том	2	1
66	несмотря на все	1	1
67	можно сказать что	1	1
68	на то что	6	1
69	у разных народов	1	1
70	как мы уже	3	1
71	сомнение в том	1	1
72	у нас в	1	1
73	друг с другом	2	1
74	как и в	1	1
75	в совершенно ином	1	1
76	только тогда когда	2	1
77	мы увидим что	2	1
78	в данном случае	3	1
79	как мы видели	1	1
