N	3gram	Medvedev_S_1	Dialekti
1	по крайней мере	1	9
2	сама по себе	1	7
3	в том что	2	6
4	в связи с	1	4
5	только то что	1	4
6	и стало быть	1	4
7	то же время	1	4
8	не может не	1	3
9	в то же	1	3
10	это вовсе не	1	2
11	во всяком случае	1	2
12	но ведь это	2	2
13	то же самое	1	2
14	в том и	1	1
15	о том как	1	1
16	и в то	1	1
17	главным образом в	1	1
18	по самому существу	1	1
19	не в том	2	1
20	это дает нам	1	1
21	с одной стороны	1	1
22	в конце концов	2	1
23	и в этом	1	1
24	ни на что	1	1
25	самому существу своему	1	1
26	их между собою	1	1
27	именно в том	1	1
28	сказать и о	1	1
29	это и есть	1	1
30	дело не в	2	1
31	ведь это же	1	1
