N	2gram	Tiupa_Vved_1	OGranits
1	и в	13	13
2	и его	5	12
3	прежде всего	7	9
4	может быть	18	8
5	не может	7	8
6	и не	12	8
7	и т.п	9	7
8	в его	4	7
9	и их	1	7
10	точки зрения	1	7
11	только в	6	6
12	как бы	4	6
13	не только	20	6
14	то что	6	6
15	мы должны	1	6
16	таким образом	4	6
17	и т.д	5	5
18	все же	6	5
19	и наконец	2	5
20	в процессе	1	5
21	хотя бы	1	5
22	мы не	4	4
23	произведения как	1	4
24	еще и	1	4
25	на фоне	2	4
26	но в	6	4
27	мы можем	2	4
28	то же	5	4
29	лишь в	2	4
30	в сознании	4	4
31	в своей	5	4
32	в школе	1	4
33	было бы	4	4
34	все это	1	4
35	в двух	1	4
36	не является	3	4
37	в ее	1	3
38	самом деле	3	3
39	в пределах	2	3
40	так и	8	3
41	говорить о	2	3
42	похожим на	1	3
43	в их	1	3
44	по отношению	7	3
45	в себе	5	3
46	к одному	1	3
47	не как	2	3
48	в одном	1	3
49	здесь мы	1	3
50	но и	19	3
51	как и	11	3
52	что же	3	3
53	не в	6	3
54	да и	1	3
55	и для	3	3
56	никогда не	4	3
57	и все	4	3
58	превращается в	1	3
59	т.п и	1	3
60	отношению к	7	3
61	не столько	4	3
62	что в	3	3
63	в искусстве	1	3
64	для себя	1	2
65	и др	1	2
66	данном случае	6	2
67	зависимости от	1	2
68	в произведении	1	2
69	роль в	1	2
70	которое может	1	2
71	те же	2	2
72	к анализу	1	2
73	мог бы	1	2
74	человеческой речи	1	2
75	если бы	7	2
76	что иное	1	2
77	иное как	1	2
78	не что	1	2
79	в ней	4	2
80	а также	8	2
81	между тем	1	2
82	во всей	1	2
83	что они	1	2
84	вслед за	2	2
85	наконец в	1	2
86	к сожалению	1	2
87	материалом для	1	2
88	его на	1	2
89	как в	4	2
90	в данном	13	2
91	в этом	21	2
92	но так	1	2
93	в том	10	2
94	мы видим	1	2
95	тот же	1	2
96	в этот	2	2
97	которое мы	1	2
98	во времени	2	2
99	в целом	3	2
100	и тем	2	2
101	все эти	1	2
102	с одной	5	2
103	уже в	1	2
104	кажется что	1	2
105	в нем	5	2
106	при этом	26	2
107	для него	3	2
108	вовсе не	1	2
109	в зависимости	1	2
110	тем что	2	2
111	в них	2	2
112	в области	3	2
113	с другой	5	2
114	всей своей	2	2
115	а как	1	2
116	в самом	2	2
117	входит в	1	2
118	одной стороны	5	2
119	соответствии с	6	2
120	не на	1	2
121	а не	15	2
122	другой стороны	2	2
123	не мог	1	2
124	несмотря на	1	2
125	в связи	1	2
126	том что	7	2
127	с помощью	1	2
128	от своего	1	2
129	и ее	1	2
130	так же	1	2
131	в отношении	1	2
132	своего рода	10	2
133	в течение	1	2
134	литературного произведения	1	2
135	слова и	1	2
136	не менее	4	2
137	не имеет	2	2
138	функцию в	1	2
139	в структуре	1	2
140	собственно говоря	1	2
141	бы в	3	2
142	во всем	1	2
143	а в	6	2
144	еще в	2	2
145	в целях	1	2
146	нет ничего	1	2
147	героя и	3	2
148	и к	2	2
149	имеет место	4	2
150	могут быть	4	2
151	в своих	2	2
152	к тому	6	2
153	оно может	1	1
154	одним из	5	1
155	также и	4	1
156	в словесной	1	1
157	и уж	1	1
158	и через	1	1
159	в виду	1	1
160	того же	1	1
161	и сами	2	1
162	своем составе	1	1
163	как известно	1	1
164	на основе	1	1
165	бытия то	2	1
166	что до	1	1
167	сознания с	1	1
168	и до	1	1
169	с языком	1	1
170	на том	1	1
171	едва ли	3	1
172	можно было	2	1
