N	3gram	Vinokur_Ku_1	formyVre
1	то же время	2	9
2	и т п	18	8
3	в то же	2	6
4	и того же	2	5
5	одного и того	2	5
6	и в то	1	5
7	в связи с	3	5
8	для того чтобы	15	5
9	по отношению к	8	3
10	до сих пор	4	3
11	в этом отношении	5	3
12	одно и то	1	3
13	в одно и	1	3
14	не может быть	3	3
15	и то же	1	3
16	но все же	2	2
17	и в особенности	1	2
18	в соответствии с	3	2
19	как раз и	1	2
20	с точки зрения	9	2
21	в отличие от	1	2
22	в строгом смысле	1	2
23	вместе с тем	3	2
24	так же как	1	2
25	не только в	1	2
26	с одной стороны	1	2
27	не для того	1	2
28	все то что	1	2
29	в ее целом	1	2
30	той или иной	1	2
31	в том что	15	2
32	но кроме того	1	1
33	и может быть	1	1
34	на том что	1	1
35	до наших дней	1	1
36	в одном ряду	1	1
37	в стороне от	1	1
38	не могло не	1	1
39	в данный момент	1	1
40	прежде всего на	1	1
41	а вовсе не	1	1
42	себя прежде всего	1	1
43	его все же	1	1
44	имеем в виду	1	1
45	в самом деле	7	1
46	т п наконец	1	1
47	потому что не	2	1
48	тех случаях когда	2	1
49	находится в противоречии	1	1
50	по существу не	1	1
51	в зависимости от	5	1
52	сами по себе	1	1
53	особенно важное значение	1	1
54	самосознание вовсе не	1	1
55	в себе и	1	1
56	с тем что	1	1
57	большую роль в	1	1
58	и ничего не	1	1
59	т п все	1	1
60	в это время	1	1
61	роль в истории	1	1
62	в тех случаях	2	1
63	и тогда когда	3	1
64	в особенности в	1	1
65	все же и	1	1
66	в противоречии с	1	1
67	смысле этого слова	1	1
68	что в этих	1	1
69	так и в	2	1
70	ясно что в	1	1
71	но в нем	1	1
72	для себя и	1	1
73	если они не	1	1
74	во всяком случае	5	1
75	когда мы говорим	1	1
76	во всех этих	1	1
77	и все же	1	1
78	то же значение	1	1
79	нельзя забывать что	1	1
80	в свою очередь	3	1
81	та или иная	1	1
82	в этом случае	2	1
83	но дело не	1	1
84	о том что	5	1
85	и в самом	2	1
86	одном ряду с	1	1
87	мы говорим о	1	1
88	мы имеем в	1	1
89	данный момент в	1	1
90	с этим мы	1	1
91	в них не	1	1
92	все это не	3	1
93	того чтобы быть	2	1
