N	4gram	Vinokur_Vv_1	Problema
1	не говоря уже о	1	4
2	с одной стороны и	3	3
3	не что иное как	4	3
4	есть не что иное	2	3
5	также и то что	1	2
6	заключается в том что	2	2
7	одной и той же	2	2
8	в этом смысле слова	1	2
9	в связи с этим	1	2
10	и тем не менее	3	1
11	мы имеем в виду	1	1
12	вопрос о том что	3	1
13	уже о том что	1	1
14	в этом смысле и	1	1
15	говоря уже о том	1	1
16	какой бы то ни	1	1
17	д для того чтобы	1	1
18	представление о том что	1	1
19	говорить о том что	1	1
20	в том или ином	1	1
21	прийти к выводу что	1	1
22	в частности в области	1	1
23	так или иначе но	2	1
24	это значит не только	1	1
25	бы то ни было	1	1
26	и т д для	1	1
27	тем не менее совершенно	1	1
28	т д для того	1	1
29	в том что в	1	1
30	чтобы ее можно было	1	1
31	возможно только потому что	1	1
