N	2gram	Nazirov_Tv_2	FransuaR
1	и в	20	45
2	то есть	5	25
3	и не	9	15
4	в этом	8	14
5	но в	4	14
6	не только	13	14
7	во всех	1	13
8	и его	9	13
9	в его	10	13
10	как бы	11	12
11	во время	1	12
12	что в	7	12
13	то же	7	11
14	в то	10	11
15	в романе	15	11
16	в нем	3	10
17	и с	8	10
18	как и	6	10
19	в том	8	10
20	но и	8	10
21	прежде всего	8	10
22	же время	7	9
23	таким образом	10	8
24	как мы	1	8
25	вовсе не	2	8
26	и др	3	8
27	так же	5	8
28	он был	1	7
29	с его	1	7
30	мы видели	1	7
31	том что	4	7
32	не в	4	7
33	потому что	7	7
34	что и	1	7
35	на мир	1	7
36	в конце	6	7
37	все это	6	7
38	в этой	5	6
39	он не	3	6
40	в них	1	6
41	мысли и	1	6
42	связи с	1	6
43	так и	6	6
44	что он	6	6
45	так как	3	6
46	одним из	3	5
47	например в	5	5
48	самом деле	2	5
49	это и	1	5
50	и на	5	5
51	хотя и	4	5
52	и как	1	5
53	и к	1	5
54	в себя	1	5
55	и у	2	5
56	все эти	4	5
57	его в	3	5
58	с ним	3	5
59	мы видим	4	5
60	одной из	3	5
61	и их	1	5
62	как раз	1	5
63	в связи	1	5
64	не может	7	5
65	но это	5	5
66	от всех	1	5
67	же как	3	4
68	в доме	1	4
69	всех и	1	4
70	мы уже	1	4
71	той же	1	4
72	мы не	4	4
73	и о	1	4
74	но не	5	4
75	перед нами	1	4
76	в самом	3	4
77	тому же	2	4
78	первой части	4	4
79	об этом	4	4
80	не мог	1	4
81	в их	3	4
82	своего рода	3	4
83	в основе	2	4
84	у него	6	4
85	и это	3	4
86	можно было	1	4
87	ничего не	4	4
88	и здесь	1	4
89	о том	5	4
90	образов и	1	4
91	только в	2	4
92	в первой	2	4
93	с этим	1	4
94	и даже	5	4
95	сказать что	1	4
96	а не	6	4
97	чем же	1	4
98	с образами	1	4
99	как это	1	4
100	и от	4	4
101	а в	4	4
102	как на	1	4
103	по поводу	1	4
104	такой же	2	4
105	том числе	1	4
106	почти всегда	1	3
107	века в	1	3
108	и он	2	3
109	из этих	1	3
110	менее всего	1	3
111	как в	4	3
112	в одной	3	3
113	но его	1	3
114	что она	4	3
115	и вот	1	3
116	об этой	1	3
117	ни в	1	3
118	до сих	3	3
119	в своей	6	3
120	этой связи	1	3
121	в которых	3	3
122	не менее	2	3
123	дело в	1	3
124	не имеет	1	3
125	здесь же	1	3
126	что на	2	3
127	от их	1	3
128	то время	1	3
129	в другом	1	3
130	этот момент	1	3
131	нуждается в	1	3
132	это не	7	3
133	именно в	6	3
134	и прежде	1	3
135	и одновременно	1	3
136	в поэзии	1	3
137	для него	3	3
138	в одном	2	3
139	но он	1	3
140	не было	2	3
141	связь с	2	3
142	вместе с	3	3
143	от страха	1	3
144	в течение	1	3
145	но этот	1	3
146	сих пор	3	3
147	и для	1	3
148	в году	16	3
149	и ни	1	3
150	на этот	2	3
151	и другие	1	3
152	ту же	1	2
