N	3gram	Propp_Isto_1	Russkaja
1	друг с другом	3	14
2	в том что	4	7
3	для того чтобы	1	6
4	до сих пор	5	5
5	более или менее	5	4
6	на то что	4	4
7	бы то ни	2	4
8	к тому чтобы	1	4
9	в том случае	1	4
10	не может быть	7	4
11	в этом случае	1	3
12	вместе с тем	2	3
13	можно было бы	3	3
14	точно так же	3	2
15	о том чтобы	1	2
16	в этом направлении	1	2
17	это потому что	1	2
18	того или иного	1	2
19	о том что	3	2
20	в большинстве случаев	4	2
21	к тому что	1	2
22	должны были бы	2	1
23	в другом месте	1	1
24	никогда не было	1	1
25	прежде всего в	1	1
26	дело в том	3	1
27	по отношению к	3	1
28	в этой роли	1	1
29	во всем мире	1	1
30	то же самое	3	1
31	может быть назван	2	1
32	так как оно	1	1
33	она там и	1	1
34	до известной степени	1	1
35	на точку зрения	1	1
36	лишь тогда когда	1	1
37	это значило бы	1	1
38	только то что	1	1
39	в этом отношении	1	1
40	за то что	1	1
41	это завело бы	1	1
42	на этот вопрос	2	1
43	в противном случае	1	1
44	в значительной степени	1	1
45	сводится к тому	1	1
46	в том чтобы	1	1
47	этого вопроса необходимо	1	1
48	положение по сравнению	1	1
49	но в то	1	1
50	то ни было	2	1
51	смысле этого слова	1	1
52	видно из всего	1	1
53	и должно было	1	1
54	и должно быть	2	1
55	и в этом	1	1
56	не только для	1	1
57	в связи с	3	1
58	это конечно не	2	1
59	тем что они	1	1
60	сих пор мы	2	1
61	так же как	2	1
62	из всех этих	1	1
63	между собой и	1	1
64	тех или иных	1	1
65	содержат в себе	1	1
66	но и для	1	1
67	с самого начала	2	1
68	вопрос о том	2	1
69	но все же	3	1
70	о том чем	1	1
71	связаны друг с	2	1
72	не играет роли	1	1
73	тем не менее	6	1
74	по сравнению со	1	1
75	во многих случаях	1	1
76	быть не может	1	1
77	необходимо иметь в	1	1
78	том случае когда	1	1
79	на первый взгляд	2	1
80	к тому же	1	1
