N	3gram	Bakhtin_fo_2	Mirosoze
1	не может быть	1	8
2	есть прежде всего	1	5
3	для того чтобы	7	4
4	что и в	1	4
5	никогда не было	1	3
6	до сих пор	2	3
7	к тому что	1	3
8	и в этом	3	3
9	в чем не	1	2
10	также и в	1	2
11	и для него	1	2
12	с самим собою	1	2
13	мы еще вернемся	3	2
14	может быть и	2	2
15	так как он	1	2
16	не до конца	1	2
17	и та же	2	2
18	одна и та	2	2
19	о том что	1	2
20	ни в чем	1	2
21	как и в	1	2
22	в том что	3	2
23	как и во	1	2
24	а следовательно и	2	1
25	оно не может	1	1
26	том что он	1	1
27	в разных ее	1	1
28	с точки зрения	8	1
29	и его жизнь	1	1
30	в этом мире	6	1
31	как и все	1	1
32	у него есть	2	1
33	что он не	1	1
34	друг на друга	2	1
35	но и в	3	1
36	между тем как	1	1
37	в этом отношении	2	1
38	во всех своих	1	1
39	человек в нем	1	1
40	он так же	1	1
41	что действие романа	1	1
42	в человеческой жизни	1	1
43	он плоть от	1	1
44	от плоти и	1	1
45	еще вернемся к	1	1
46	плоть от плоти	1	1
47	еще вернемся в	2	1
48	всего может быть	1	1
49	и должно быть	2	1
50	по сравнению с	1	1
51	они должны быть	1	1
52	но в пределе	1	1
53	как момент в	1	1
54	жизнь есть прежде	1	1
55	не для того	2	1
56	и во всем	1	1
57	лежит в основе	2	1
58	но он не	1	1
59	на протяжении всего	2	1
60	в котором в	1	1
61	нас может быть	1	1
62	сам он был	1	1
63	той или иной	1	1
64	только в этом	1	1
65	он не знал	1	1
66	на самом деле	1	1
67	и в нем	1	1
68	себя и других	1	1
69	в конце концов	1	1
