N	4gram	Vygotskiy__5	Marksizm
1	одного и того же	3	4
2	одно и то же	1	3
3	с одной стороны и	1	2
4	в собственном смысле слова	1	2
5	в том что он	2	2
6	для того чтобы понять	1	2
7	все более и более	1	2
8	не знает ни одного	1	1
9	то же самое что	2	1
10	в том числе и	1	1
11	для того чтобы изучить	1	1
12	не только по отношению	1	1
13	не что иное как	1	1
14	не может быть понято	1	1
15	как мы увидим в	1	1
16	только по отношению к	1	1
17	в этом последнем случае	1	1
18	с письменной речью к	1	1
19	не является для него	1	1
20	во всяком случае все	1	1
21	можно прямо сказать что	1	1
