N	3gram	Trubetskoy_1	FransuaR
1	о том что	2	5
2	то же время	10	5
3	в то же	10	5
4	в другом месте	1	4
5	в самом деле	1	4
6	в большинстве случаев	2	4
7	в этом отношении	1	3
8	о котором мы	1	3
9	до сих пор	5	3
10	в этой роли	1	2
11	с точки зрения	9	2
12	и то что	3	2
13	в данном случае	3	2
14	во всех этих	1	2
15	в том что	7	2
16	и прежде всего	1	2
17	и того же	1	1
18	по отношению к	1	1
19	дело в том	1	1
20	более или менее	4	1
21	в настоящее время	2	1
22	также как и	1	1
23	и не только	1	1
24	со спокойной совестью	1	1
25	их в самом	1	1
26	в лучшем случае	3	1
27	что он может	1	1
28	лишь тогда когда	1	1
29	с ним в	1	1
30	в себе и	2	1
31	совершенно ясно что	1	1
32	на этот вопрос	1	1
33	с самим собой	2	1
34	никогда не был	1	1
35	здесь же мы	1	1
36	никогда не было	1	1
37	в значительной мере	2	1
38	по самому своему	2	1
39	вместе с тем	3	1
40	только для того	1	1
41	говорили в другом	1	1
42	и во всем	1	1
43	не подлежит никакому	1	1
44	до известной степени	1	1
45	быть самим собой	4	1
46	только то что	1	1
47	никакому сомнению что	1	1
48	но в то	1	1
49	подлежит никакому сомнению	1	1
50	прежде всего с	1	1
51	в конце концов	3	1
52	смысле этого слова	1	1
53	всех людей и	1	1
54	в начале этой	1	1
55	так чтобы в	1	1
56	и как бы	1	1
57	самому своему существу	1	1
58	в связи с	1	1
59	друг к другу	1	1
60	это значило бы	1	1
61	ничего подобного не	1	1
62	а то которое	1	1
63	это конечно не	1	1
64	для того чтобы	6	1
65	в самом себе	2	1
66	не может быть	4	1
67	потому что они	1	1
68	тогда когда они	2	1
69	между собой и	1	1
70	в значительной степени	1	1
71	заключается в том	1	1
72	именно на ней	1	1
73	но и для	1	1
74	момент необходимый для	1	1
75	что касается до	1	1
76	той или иной	3	1
77	но все же	1	1
78	в нем самом	1	1
79	одного и того	1	1
80	за то что	1	1
81	быть самими собой	2	1
82	о себе самом	1	1
83	нечего и говорить	1	1
84	во всех странах	1	1
