N	2gram	Potebnia_M_3	Sovremen
1	не может	6	17
2	может быть	28	12
3	точки зрения	2	12
4	таким образом	14	11
5	мы не	9	9
6	в каждом	3	8
7	в этом	10	7
8	не можем	3	7
9	и в	30	7
10	каждый раз	2	6
11	мы можем	3	6
12	ничего не	1	6
13	как и	10	6
14	и не	15	6
15	в результате	1	6
16	и наконец	2	5
17	все эти	1	5
18	что же	2	5
19	каждом отдельном	1	5
20	прежде всего	3	5
21	с точки	1	5
22	вопрос о	1	4
23	нет и	1	4
24	мы должны	4	4
25	в том	32	4
26	в целом	3	4
27	если мы	1	4
28	из них	6	4
29	так как	13	4
30	мы видели	4	4
31	не только	21	4
32	как бы	3	4
33	вместе с	12	4
34	это не	1	4
35	их в	2	4
36	а в	12	4
37	жизни и	2	4
38	можем назвать	1	3
39	ли мы	1	3
40	он может	1	3
41	в первом	3	3
42	с самого	1	3
43	то же	23	3
44	ясно что	1	3
45	и т.д	1	3
46	но мы	2	3
47	все же	2	3
48	еще не	5	3
49	но в	1	3
50	в этой	2	3
51	в себе	16	3
52	уже в	5	3
53	как он	1	3
54	в наших	1	3
55	что она	3	3
56	в одном	2	3
57	в нем	9	3
58	при этом	3	3
59	из двух	3	3
60	и мы	2	3
61	было бы	9	3
62	само собою	1	3
63	а не	15	3
64	и потому	4	3
65	мы называем	1	3
66	не в	15	3
67	все это	4	3
68	не подлежит	2	3
69	а все	1	3
70	для нас	20	3
71	и все	3	3
72	в системе	2	3
73	когда мы	2	3
74	отличается от	1	3
75	в области	2	3
76	как мы	7	2
77	свою очередь	3	2
78	и есть	3	2
79	тем же	4	2
80	той же	2	2
81	времени и	1	2
82	каждого из	2	2
83	для его	1	2
84	из одного	1	2
85	и даже	2	2
86	говорить о	3	2
87	и что	10	2
88	подлежит сомнению	1	2
89	самом деле	2	2
90	в которую	1	2
91	в его	4	2
92	с этим	6	2
93	дает нам	3	2
94	некоторое время	1	2
95	только один	2	2
96	в самом	8	2
97	к чему	1	2
98	в которой	3	2
99	не будем	1	2
100	или же	4	2
101	что это	4	2
102	из этих	9	2
103	с одной	7	2
104	уже не	6	2
105	то и	6	2
106	так сказать	2	2
107	с другом	1	2
108	в виде	2	2
109	на его	2	2
110	тем не	3	2
111	мы знаем	1	2
112	у него	2	2
113	и по	4	2
114	отличие от	1	2
115	но все	2	2
116	известных нам	1	2
117	что все	3	2
118	с общим	2	2
119	конечно в	1	2
120	развития в	2	2
121	на этот	1	2
122	которой он	1	2
123	в один	4	2
124	что такое	2	2
125	он должен	1	2
126	знаем что	1	2
127	друг с	1	2
128	форма в	4	2
129	о жизни	1	2
130	не менее	5	2
131	о значении	1	2
132	можно назвать	1	2
133	на котором	2	2
134	мы этого	1	2
135	и именно	1	2
136	не знаем	3	2
137	но очень	1	2
138	мы видим	2	2
139	не дает	2	2
140	тот же	1	2
141	в свою	3	2
142	не могут	5	2
143	могут быть	3	2
144	что при	3	2
145	для развития	2	2
146	же самое	1	2
147	что в	17	2
148	только одну	2	2
149	в таком	3	2
150	во всяком	1	2
151	а может	1	1
152	и наиболее	1	1
153	должен быть	1	1
154	и это	4	1
155	жизнь человека	1	1
156	своего развития	1	1
157	человека и	5	1
158	на самом	1	1
159	это и	2	1
160	если как	1	1
161	но тем	2	1
162	для науки	1	1
163	отношению к	5	1
164	так в	2	1
165	по преимуществу	1	1
166	первое время	2	1
167	и до	2	1
168	то нужно	1	1
169	значение но	1	1
170	в мире	1	1
171	входящих в	2	1
172	мы уже	2	1
173	те же	6	1
174	их и	1	1
175	есть не	7	1
176	во многом	2	1
177	нуждаются в	1	1
178	когда в	2	1
179	это только	1	1
180	смысле то	2	1
181	что уже	2	1
182	если бы	12	1
183	и вообще	3	1
184	в отдельном	1	1
185	оно вообще	1	1
186	видим не	1	1
