N	2gram	Medvedev_S_1	Morfolog
1	может быть	2	52
2	таким образом	2	20
3	не может	1	17
4	в этих	1	16
5	и в	3	13
6	в этом	5	13
7	связи с	1	11
8	перед нами	1	11
9	прежде всего	1	9
10	так и	1	9
11	в связи	1	9
12	то же	2	9
13	и не	1	9
14	в результате	2	8
15	с другой	1	8
16	по существу	2	8
17	все же	1	7
18	а в	1	6
19	но не	1	6
20	это не	1	6
21	в том	5	6
22	мы не	1	5
23	один из	1	5
24	то что	2	5
25	далеко не	2	5
26	как бы	2	5
27	и затем	1	4
28	как и	1	4
29	отношению к	2	4
30	вовсе не	1	4
31	тем что	1	4
32	его в	1	4
33	что в	2	4
34	по отношению	2	4
35	ничего не	1	4
36	было бы	2	4
37	не только	3	4
38	и как	1	4
39	в целом	1	3
40	в то	1	3
41	между собой	1	3
42	но и	2	3
43	мы должны	1	3
44	в сущности	1	3
45	и по	1	3
46	том что	2	3
47	все эти	1	2
48	бы они	1	2
49	может не	1	2
50	о том	1	2
51	что эти	1	2
52	на первый	1	2
53	или не	1	2
54	перейти к	1	2
55	в виде	1	2
56	настоящее время	1	2
57	право на	1	2
58	хотя бы	1	2
59	и только	3	2
60	в таких	1	2
61	не меняет	1	2
62	и его	1	2
63	их на	1	2
64	а с	1	2
65	в настоящее	1	2
66	как то	1	2
67	с одной	1	2
68	или нет	1	2
69	не от	1	2
70	и что	2	2
71	только в	2	2
72	одной стороны	1	2
73	в частности	2	2
74	нашей работы	1	2
75	что он	1	2
76	тем же	1	2
77	для наших	1	2
78	и более	1	2
79	благодаря этому	1	2
80	главным образом	2	1
81	но она	1	1
82	бы в	1	1
83	для нас	3	1
84	же время	1	1
85	в него	1	1
86	даже не	1	1
87	ни были	1	1
88	еще и	1	1
89	она может	2	1
90	в этой	1	1
91	что это	1	1
92	не в	3	1
93	даже в	1	1
94	и должны	1	1
95	вступает в	1	1
96	пришлось бы	1	1
97	это дает	1	1
98	дает нам	1	1
99	дело не	2	1
100	не дает	1	1
101	это значит	1	1
102	вопросом о	1	1
103	те же	1	1
104	же не	1	1
105	на что	1	1
106	исторического изучения	1	1
107	во всяком	1	1
108	между ними	1	1
109	мы еще	1	1
110	быть не	1	1
111	два типа	1	1
112	более чем	3	1
113	в его	3	1
114	на все	1	1
115	и наконец	1	1
116	противном случае	1	1
117	для изучения	1	1
118	влияет на	1	1
119	переходим к	1	1
120	но как	1	1
121	это по	1	1
122	именно и	1	1
123	же законы	1	1
124	на основании	1	1
125	том как	1	1
126	но ведь	3	1
127	в каждом	1	1
128	на шею	1	1
129	они ни	1	1
130	между собою	1	1
131	всяком случае	1	1
132	у него	1	1
133	именно в	1	1
134	что данный	1	1
135	этому соответствует	1	1
136	тому что	1	1
137	два или	1	1
138	обходится без	1	1
139	положения в	1	1
140	в противном	1	1
141	какие же	1	1
142	наука о	1	1
143	мы переходим	1	1
144	же самое	1	1
145	только для	1	1
146	на этот	1	1
147	все это	7	1
148	что она	1	1
149	литературе и	1	1
150	как будто	2	1
151	метод и	2	1
152	нет а	1	1
153	как же	3	1
154	в данном	1	1
155	можно будет	1	1
