N	3gram	Medvedev_V_1	SlovoVZh
1	по отношению к	7	11
2	не может быть	8	7
3	можно сказать что	4	5
4	как если бы	1	4
5	в том что	5	4
6	и не может	2	3
7	и по отношению	1	3
8	может быть и	1	3
9	этой точки зрения	2	3
10	до сих пор	1	3
11	в художественном произведении	4	3
12	и то же	1	2
13	имеем в виду	1	2
14	с другой стороны	8	2
15	то же самое	1	2
16	одной стороны и	2	2
17	художественного произведения и	1	2
18	в зависимости от	5	2
19	одно и то	1	2
20	в данном случае	1	2
21	с одной стороны	2	2
22	художественного произведения эта	1	1
23	таким образом для	1	1
24	а между тем	1	1
25	является таким образом	1	1
26	они должны быть	2	1
27	следует отметить что	1	1
28	имеем дело с	1	1
29	все же не	1	1
30	произведения и его	1	1
31	мы имеем дело	1	1
32	процессе этого развития	1	1
33	что осталось в	1	1
34	то время как	1	1
35	более или менее	6	1
36	во всяком случае	1	1
37	но то же	1	1
38	в самом деле	1	1
39	в этом смысле	1	1
40	бы не было	2	1
41	как это делает	3	1
42	же как и	1	1
43	плоть и кровь	1	1
44	можно определить как	2	1
45	в то время	1	1
46	в частности в	2	1
47	сих пор не	1	1
48	приходится признать что	1	1
49	что мы имеем	1	1
50	равно как и	4	1
51	сами по себе	1	1
52	в свою очередь	1	1
53	но и в	1	1
54	и др и	1	1
55	о том что	3	1
56	только то что	2	1
57	ничего общего с	1	1
58	в этом отношении	13	1
59	не обходится без	1	1
60	по аналогии с	1	1
61	в конечном счете	5	1
62	ни в какой	1	1
63	может идти только	1	1
64	можно было бы	2	1
65	является для него	1	1
66	то же время	5	1
67	подобно тому как	2	1
68	между тем это	1	1
69	в плоть и	1	1
70	в противном случае	2	1
71	по себе в	1	1
72	произведения таким образом	1	1
73	со всех сторон	1	1
74	в процессе этого	1	1
75	по крайней мере	2	1
76	в то же	5	1
77	говорит о том	1	1
78	таким образом не	3	1
79	все зависит от	1	1
80	в каком направлении	1	1
81	сама по себе	1	1
82	так же как	1	1
83	в виду не	1	1
84	от его содержания	1	1
85	к тому же	1	1
86	но в то	1	1
87	в том же	1	1
