N	3gram	Voloshinov_1	KFilosof
1	не может быть	2	11
2	с точки зрения	5	10
3	на самом деле	3	3
4	того или иного	5	3
5	не было бы	2	3
6	и в этом	1	3
7	но все эти	1	3
8	ни к чему	2	2
9	то или иное	4	2
10	во всех своих	3	2
11	то же время	7	2
12	к чему не	2	2
13	вопрос о том	1	2
14	той или иной	3	2
15	в то же	9	2
16	тем не менее	1	2
17	в том что	1	2
18	то все же	1	1
19	не может не	1	1
20	нет и не	1	1
21	и ни к	1	1
22	и не нужно	1	1
23	и того же	1	1
24	мы никогда не	5	1
25	хотя бы только	1	1
26	связанных с ними	1	1
27	равно как и	2	1
28	и во всех	1	1
29	в зависимости от	5	1
30	хотя бы и	1	1
31	нужно помнить что	1	1
32	и содержание и	2	1
33	мы не имеем	2	1
34	и та же	1	1
35	вследствие того что	1	1
36	независимо от того	1	1
37	отношение к миру	1	1
38	они находятся в	1	1
39	вместе с тем	2	1
40	в каких бы	1	1
41	и как бы	1	1
42	и в то	2	1
43	ту или иную	3	1
44	если мы возьмем	1	1
45	может быть понято	2	1
46	ни на один	1	1
47	но в то	2	1
48	может заключать в	1	1
49	смысле этого слова	2	1
50	как бы два	1	1
51	мы будем говорить	2	1
52	лишь при условии	1	1
53	с нашей точки	1	1
54	не должно быть	2	1
55	одна и та	1	1
56	и т.п но	2	1
57	заключать в себе	1	1
58	для того чтобы	7	1
59	в себя всю	1	1
60	сознания как и	1	1
61	и все же	1	1
62	бытие в котором	1	1
63	но для того	3	1
64	мы не можем	1	1
65	в значительной степени	2	1
66	пространство и время	1	1
67	в действительной жизни	2	1
68	в свою очередь	4	1
69	само по себе	1	1
70	и тем самым	3	1
71	в конечном счете	1	1
72	это отнюдь не	1	1
73	нашей точки зрения	1	1
74	и вследствие этого	2	1
75	одного и того	1	1
76	в большинстве случаев	1	1
77	к тому что	2	1
78	по всей своей	1	1
79	но уже не	1	1
80	конечно это не	1	1
81	только тогда когда	1	1
82	то же самое	4	1
83	уже не только	1	1
