N	3gram	Medvedev_V_1	Dialekti
1	и т д	14	15
2	в том что	5	9
3	по крайней мере	2	7
4	не может быть	8	6
5	то же время	5	6
6	в то же	5	6
7	есть то что	1	5
8	сама по себе	1	5
9	для того чтобы	3	5
10	в этом смысле	1	4
11	не в том	2	4
12	это и есть	3	4
13	подобно тому как	2	4
14	только тогда когда	1	4
15	не говоря уже	1	3
16	выйти за пределы	1	3
17	говоря уже о	1	3
18	то или иное	1	3
19	лежит в основе	1	3
20	в чем же	2	2
21	равно как и	4	2
22	имеет ничего общего	1	2
23	т е не	1	2
24	того или другого	1	2
25	о том как	3	2
26	если так то	1	2
27	как и все	1	2
28	и в то	3	2
29	хотя бы и	5	2
30	с этой точки	1	2
31	ту или иную	1	2
32	уже о том	1	2
33	т е в	2	2
34	ничего общего с	1	2
35	но в то	1	2
36	этой точки зрения	2	2
37	иметь в виду	2	2
38	по сравнению с	1	2
39	от того что	2	2
40	в свою очередь	1	2
41	та или иная	1	2
42	не имеет ничего	1	2
43	мы видим что	1	2
44	не может не	2	1
45	в силу этого	4	1
46	другой стороны в	1	1
47	мы имеем дело	1	1
48	что перед нами	1	1
49	в силу того	1	1
50	же как и	1	1
51	и есть то	1	1
52	именно в этом	1	1
53	в зависимости от	5	1
54	и значит что	1	1
55	можно сказать что	4	1
56	т д но	1	1
57	не было бы	4	1
58	между собою и	1	1
59	это и значит	1	1
60	в том случае	1	1
61	некоторые из них	1	1
62	говорить не о	2	1
63	а не только	1	1
64	в данном случае	1	1
65	не только в	2	1
66	и не по	1	1
67	т е чисто	1	1
68	в конце концов	2	1
69	от обычного хода	1	1
70	того что не	1	1
71	и главным образом	2	1
72	так или иначе	1	1
73	в связи с	3	1
74	в виду что	1	1
75	в частности об	1	1
76	а вместе с	1	1
77	о том что	3	1
78	и вместе с	1	1
79	хотя бы в	3	1
80	не только не	2	1
81	и не может	2	1
82	вопрос о том	1	1
83	с другой стороны	8	1
84	совершенно очевидно что	1	1
85	ни одна из	1	1
86	после того как	1	1
87	не значит что	1	1
88	может быть в	1	1
89	все это не	1	1
90	мы только что	1	1
91	том случае если	1	1
92	той или иной	1	1
