N	3gram	Tiupa_Teor_1	EvropaiC
1	в том что	8	16
2	по отношению к	4	10
3	с точки зрения	3	8
4	а между тем	1	7
5	более или менее	2	7
6	друг от друга	1	6
7	для того чтобы	1	6
8	о том что	1	4
9	в том случае	1	4
10	с другой стороны	5	4
11	может быть и	2	4
12	том случае если	1	4
13	начало и конец	1	4
14	тем не менее	3	4
15	не может быть	4	4
16	заключается в том	1	3
17	так или иначе	4	3
18	так же как	1	3
19	в целом ряде	1	3
20	и того же	3	3
21	одного и того	3	3
22	в связи с	1	3
23	в данном случае	5	3
24	при этом что	1	2
25	в то же	5	2
26	бы то ни	1	2
27	таким же образом	1	2
28	с одной стороны	2	2
29	именно потому что	1	2
30	как и в	2	2
31	заключает в себе	1	2
32	то ни было	1	2
33	а с другой	2	2
34	только то что	1	2
35	то же время	5	2
36	в нашем случае	2	2
37	в свою очередь	2	2
38	а в том	1	1
39	то что входит	1	1
40	в данный момент	2	1
41	между тем в	1	1
42	приводит к тому	2	1
43	в том числе	2	1
44	окружающей его природы	1	1
45	точно так же	1	1
46	в себе никаких	1	1
47	из того что	1	1
48	не только не	2	1
49	исходит из того	1	1
50	это имеет место	1	1
51	и другими людьми	1	1
52	таким образом и	1	1
53	иметь в виду	1	1
54	дело в том	1	1
55	к тому что	2	1
56	между людьми поэтому	1	1
57	никак не может	1	1
58	при этом не	1	1
59	то же самое	1	1
60	тот или иной	2	1
61	и то же	1	1
62	состоит в том	5	1
63	в том или	1	1
64	но на деле	1	1
65	что входит в	1	1
66	и в жизни	1	1
67	это было бы	1	1
68	та или иная	1	1
69	все то что	1	1
70	том числе и	1	1
71	на одну из	1	1
72	является одним из	1	1
73	на первый взгляд	1	1
74	есть как бы	1	1
75	одно и то	1	1
76	том или ином	1	1
77	по крайней мере	1	1
78	в то время	1	1
