N	4gram	Tiupa_Anal_3	Problemy
1	в то же время	3	5
2	в той или иной	1	3
3	по себе еще не	1	2
4	по крайней мере не	1	1
5	но в таком случае	1	1
6	каждом из этих трех	1	1
7	сама по себе еще	1	1
8	если бы он и	1	1
9	в каждом из этих	1	1
10	из уст в уста	1	1
11	слове рассказчика слово здесь	1	1
12	мы оставляем в стороне	1	1
13	как если бы он	1	1
14	в слове рассказчика слово	1	1
15	рассказчика слово здесь двуголосое	1	1
16	в том что он	2	1
17	дело в том что	2	1
18	о своей любви к	1	1
19	из этих трех случаев	1	1
